Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Starting XI,Patrick Beach,21,Goalkeeper,€300k,Australia
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Starting XI,Germán Ferreyra,28,Centre-Back,€300k,Argentina
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Starting XI,Kai Trewin,23,Centre-Back,€600k,Australia
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Starting XI,Aziz Behich,34,Left-Back,€350k,"Australia, Türkiye"
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Starting XI,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Starting XI,Nathaniel Atkinson,25,Central Midfield,€700k,Australia
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Starting XI,Steven Ugarkovic,30,Central Midfield,€500k,"Australia, Croatia"
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Starting XI,Kavian Rahmani,18,Attacking Midfield,€75k,Australia
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Starting XI,Harry Politidis,22,Left Winger,€250k,Australia
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Starting XI,Benjamin Mazzeo,19,Right Winger,€150k,Australia
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Starting XI,Medin Memeti,17,Centre-Forward,€150k,Australia
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Substitutes,Jamie Young,39,Goalkeeper,€150k,"England, Australia"
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Substitutes,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Substitutes,Harrison Shillington,19,Right-Back,,Australia
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Substitutes,Zane Schreiber,19,Central Midfield,€200k,Australia
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Substitutes,Benjamin Dunbar,18,Central Midfield,€50k,Australia
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Substitutes,Emin Durakovic,19,Left Midfield,€50k,Australia
"Sat, 1/11/25",Melbourne City FC,Brisbane Roar,Substitutes,Mikey Ghossaini,17,Left Winger,€50k,"Australia, Lebanon"
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Starting XI,Macklin Freke,26,Goalkeeper,€300k,"Australia, New Zealand"
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Starting XI,Lucas Herrington,17,Centre-Back,€125k,Australia
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Starting XI,Hosine Bility,23,Centre-Back,€100k,"Australia, Guinea"
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€300k,"Australia, England"
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Starting XI,Jack Hingert,34,Right-Back,€150k,"Sri Lanka, Australia"
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Starting XI,Sam Klein,20,Defensive Midfield,€50k,Australia
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Starting XI,Jay O'Shea,36,Central Midfield,€275k,Ireland
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Starting XI,Jacob Brazete,18,Central Midfield,€125k,"Australia, Portugal"
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Starting XI,Keegan Jelacic,22,Attacking Midfield,€300k,"Australia, New Zealand"
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Starting XI,Ben Halloran,32,Attacking Midfield,€350k,Australia
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Starting XI,Florin Bérenguer,35,Centre-Forward,€250k,France
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Substitutes,Matt Acton,32,Goalkeeper,€150k,"Australia, Finland"
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Substitutes,Scott Neville,36,Centre-Back,€100k,"Australia, England"
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Substitutes,Pearson Kasawaya,18,Left-Back,,Australia
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Substitutes,Louis Zabala,23,Central Midfield,€200k,Australia
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Substitutes,Quinn MacNicol,17,Attacking Midfield,€50k,Australia
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Substitutes,Rafael Struick,21,Left Winger,€200k,"Indonesia, Netherlands"
"Sat, 1/11/25",Brisbane Roar,Melbourne City FC,Substitutes,Adam Zimarino,23,Right Winger,€100k,Australia
