Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 1/11/25",Perth Glory,Auckland FC,Starting XI,Oliver Sail,28,Goalkeeper,€350k,"New Zealand, Australia"
"Sat, 1/11/25",Perth Glory,Auckland FC,Starting XI,Andriano Lebib,18,Centre-Back,€100k,Australia
"Sat, 1/11/25",Perth Glory,Auckland FC,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Sat, 1/11/25",Perth Glory,Auckland FC,Starting XI,Zach Lisolajski,19,Left-Back,€125k,Australia
"Sat, 1/11/25",Perth Glory,Auckland FC,Starting XI,Josh Risdon,32,Right-Back,€350k,Australia
"Sat, 1/11/25",Perth Glory,Auckland FC,Starting XI,Taras Gomulka,23,Central Midfield,€350k,"Australia, Ukraine"
"Sat, 1/11/25",Perth Glory,Auckland FC,Starting XI,Nicholas Pennington,26,Central Midfield,€350k,"Australia, Italy"
"Sat, 1/11/25",Perth Glory,Auckland FC,Starting XI,Jarrod Carluccio,23,Left Winger,€300k,Australia
"Sat, 1/11/25",Perth Glory,Auckland FC,Starting XI,Trent Ostler,22,Right Winger,€200k,Australia
"Sat, 1/11/25",Perth Glory,Auckland FC,Starting XI,Jaylan Pearman,18,Second Striker,€50k,Australia
"Sat, 1/11/25",Perth Glory,Auckland FC,Starting XI,Adam Taggart,31,Centre-Forward,€650k,Australia
"Sat, 1/11/25",Perth Glory,Auckland FC,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sat, 1/11/25",Perth Glory,Auckland FC,Substitutes,Anas Hamzaoui,28,Left-Back,€150k,"Belgium, Morocco"
"Sat, 1/11/25",Perth Glory,Auckland FC,Substitutes,Brandon O'Neill,30,Defensive Midfield,€300k,Australia
"Sat, 1/11/25",Perth Glory,Auckland FC,Substitutes,Adam Bugarija,19,Attacking Midfield,€150k,"Australia, Spain"
"Sat, 1/11/25",Perth Glory,Auckland FC,Substitutes,Khoa Ngo,18,Left Winger,€150k,Australia
"Sat, 1/11/25",Perth Glory,Auckland FC,Substitutes,Joel Anasmo,20,Right Winger,€75k,"Australia, Southern Sudan"
"Sat, 1/11/25",Perth Glory,Auckland FC,Substitutes,Nathanael Blair,20,Centre-Forward,€125k,Australia
"Sat, 1/11/25",Auckland FC,Perth Glory,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Sat, 1/11/25",Auckland FC,Perth Glory,Starting XI,Nando Pijnaker,25,Centre-Back,€375k,"New Zealand, Netherlands"
"Sat, 1/11/25",Auckland FC,Perth Glory,Starting XI,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sat, 1/11/25",Auckland FC,Perth Glory,Starting XI,Francis de Vries,30,Left-Back,€450k,New Zealand
"Sat, 1/11/25",Auckland FC,Perth Glory,Starting XI,Hiroki Sakai,34,Right-Back,€550k,Japan
"Sat, 1/11/25",Auckland FC,Perth Glory,Starting XI,Louis Verstraete,25,Defensive Midfield,€550k,Belgium
"Sat, 1/11/25",Auckland FC,Perth Glory,Starting XI,Luis Felipe Gallegos,33,Defensive Midfield,€275k,"Chile, Italy"
"Sat, 1/11/25",Auckland FC,Perth Glory,Starting XI,Jake Brimmer,26,Attacking Midfield,€650k,"Australia, Malta"
"Sat, 1/11/25",Auckland FC,Perth Glory,Starting XI,Liam Gillion,22,Left Winger,€400k,New Zealand
"Sat, 1/11/25",Auckland FC,Perth Glory,Starting XI,Neyder Moreno,27,Right Winger,€450k,Colombia
"Sat, 1/11/25",Auckland FC,Perth Glory,Starting XI,Guillermo May,26,Centre-Forward,€750k,"Uruguay, Italy"
"Sat, 1/11/25",Auckland FC,Perth Glory,Substitutes,Michael Woud,25,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sat, 1/11/25",Auckland FC,Perth Glory,Substitutes,Adama Coulibaly,20,Left-Back,€100k,"New Zealand, Mali"
"Sat, 1/11/25",Auckland FC,Perth Glory,Substitutes,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Sat, 1/11/25",Auckland FC,Perth Glory,Substitutes,Luis Toomey,23,Central Midfield,€250k,New Zealand
"Sat, 1/11/25",Auckland FC,Perth Glory,Substitutes,Jesse Randall,22,Centre-Forward,€250k,New Zealand
"Sat, 1/11/25",Auckland FC,Perth Glory,Substitutes,Logan Rogerson,26,Right Winger,€350k,New Zealand
"Sat, 1/11/25",Auckland FC,Perth Glory,Substitutes,Max Mata,24,Left Winger,€250k,"New Zealand, Cookinseln"
