Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€200k,Australia
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Starting XI,Hayden Matthews,20,Centre-Back,€1.00m,Australia
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Starting XI,Rhyan Grant,33,Centre-Back,€450k,Australia
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Starting XI,Joel King,24,Left-Back,€400k,Australia
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Starting XI,Zach De Jesus,18,Right-Back,€50k,Australia
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Starting XI,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Starting XI,Léo Sena,29,Defensive Midfield,€550k,Brazil
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Starting XI,Anthony Cáceres,32,Attacking Midfield,€600k,"Australia, Uruguay"
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Starting XI,Anas Ouahim,27,Left Winger,€600k,"Morocco, Germany"
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Starting XI,Joe Lolley,32,Right Winger,€1.30m,England
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Substitutes,Andrew Redmayne,35,Goalkeeper,€300k,Australia
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Substitutes,Aaron Gurd,23,Centre-Back,€175k,"Australia, Thailand"
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Substitutes,Jordan Courtney-Perkins,22,Left-Back,€450k,Australia
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Substitutes,Tiago Quintal,18,Right Winger,€100k,"Australia, Portugal"
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Substitutes,Jaiden Kucharski,22,Centre-Forward,€400k,"Australia, Poland"
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Substitutes,Adrian Segecic,20,Left Winger,€400k,"Australia, Croatia"
"Sat, 1/11/25",Sydney FC,Central Coast Mariners,Substitutes,Patrick Wood,22,Centre-Forward,€300k,Australia
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Starting XI,Trent Sainsbury,33,Centre-Back,€500k,"Australia, England"
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Starting XI,Mikael Doka,24,Left-Back,€450k,Brazil
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Starting XI,Storm Roux,31,Right-Back,€325k,"New Zealand, Australia"
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Starting XI,Harrison Steele,22,Central Midfield,€300k,Australia
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Starting XI,Alfie McCalmont,24,Central Midfield,€300k,"Northern Ireland, England"
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Starting XI,Christian Theoharous,25,Left Winger,€300k,"Australia, Cyprus"
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Starting XI,Vitor Feijão,28,Right Winger,€150k,Brazil
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Starting XI,Arthur De Lima,17,Centre-Forward,€50k,"Australia, Brazil"
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Substitutes,Sasha Kuzevski,23,Right-Back,€125k,Australia
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Substitutes,Will Wilson,23,Right Winger,€150k,"Kenya, Australia"
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Substitutes,Haine Eames,16,Attacking Midfield,€125k,Australia
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Substitutes,Sabit James Ngor,24,Centre-Forward,€175k,"Australia, Southern Sudan"
"Sat, 1/11/25",Central Coast Mariners,Sydney FC,Substitutes,Bailey Brandtman,19,Left Winger,€175k,Australia
