Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Starting XI,Joshua Oluwayemi,23,Goalkeeper,€300k,"Nigeria, England"
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Starting XI,Scott Wootton,33,Centre-Back,€275k,England
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Starting XI,Isaac Hughes,20,Centre-Back,€300k,"New Zealand, England"
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Starting XI,Lukas Kelly-Heald,19,Left-Back,€250k,New Zealand
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Starting XI,Matthew Sheridan,20,Right-Back,€250k,New Zealand
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Starting XI,Paulo Retre,31,Central Midfield,€350k,"Australia, Portugal"
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Starting XI,Mohamed Al-Taay,24,Central Midfield,€275k,"Iraq, Australia"
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Starting XI,Corban Piper,22,Right Midfield,€250k,New Zealand
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Starting XI,Sam Sutton,23,Left Midfield,€350k,"New Zealand, England"
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Starting XI,Hideki Ishige,30,Second Striker,€400k,Japan
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Starting XI,Kosta Barbarouses,34,Centre-Forward,€375k,"New Zealand, Greece"
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Substitutes,Alby Kelly-Heald,19,Goalkeeper,€100k,New Zealand
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Substitutes,Jayden Smith,17,Centre-Back,€100k,"New Zealand, England"
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Substitutes,Kazuki Nagasawa,33,Central Midfield,€225k,Japan
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Substitutes,Luke Brooke-Smith,16,Right Winger,€75k,New Zealand
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Substitutes,Nathan Walker,18,Left Winger,€175k,New Zealand
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Substitutes,Gabriel Sloane-Rodrigues,17,Right Winger,€75k,"New Zealand, Brazil"
"Sat, 1/11/25",Wellington Phoenix,Adelaide United,Substitutes,Luke Supyk,18,Centre-Forward,€100k,"New Zealand, England"
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Starting XI,James Delianov,25,Goalkeeper,€300k,Australia
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Starting XI,Panagiotis Kikianis,19,Centre-Back,€300k,Australia
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Starting XI,Javi López,38,Left-Back,€125k,Spain
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Starting XI,Dylan Pierias,24,Right-Back,€450k,"Australia, Italy"
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Starting XI,Jay Barnett,23,Defensive Midfield,€250k,Australia
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Starting XI,Ethan Alagich,21,Defensive Midfield,€350k,Australia
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Starting XI,Stefan Mauk,29,Attacking Midfield,€650k,"Australia, Germany"
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Starting XI,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Starting XI,Zach Clough,29,Right Winger,€650k,England
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Substitutes,Ethan Cox,21,Goalkeeper,€50k,Australia
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Substitutes,Fabian Talladira,18,Left-Back,€25k,Australia
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Substitutes,Isaías Sánchez,37,Defensive Midfield,€150k,"Spain, Australia"
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Substitutes,Jonny Yull,19,Central Midfield,€225k,"Australia, England"
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Substitutes,Ryan White,20,Attacking Midfield,€125k,Australia
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Substitutes,Yaya Dukuly,21,Left Winger,€125k,"Australia, Guinea"
"Sat, 1/11/25",Adelaide United,Wellington Phoenix,Substitutes,Luka Jovanovic,19,Centre-Forward,€300k,"Australia, Serbia"
