Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Starting XI,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Starting XI,Daniel Wilmering,24,Left-Back,€300k,"Australia, Germany"
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Starting XI,Phillip Cancar,23,Right-Back,€350k,"Croatia, Australia"
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Starting XI,Callum Timmins,25,Defensive Midfield,€350k,"Australia, England"
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Starting XI,Lachlan Bayliss,22,Defensive Midfield,€250k,"New Zealand, Australia"
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Starting XI,Matthew Scarcella,20,Attacking Midfield,€100k,"Australia, Italy"
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Starting XI,Clayton Taylor,20,Left Winger,€350k,Australia
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Starting XI,Thomas Aquilina,23,Right Winger,€375k,"Australia, Malta"
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Starting XI,Ben Gibson,22,Centre-Forward,€175k,Australia
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Substitutes,Noah James,23,Goalkeeper,,Australia
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Substitutes,Nathan Grimaldi,23,Centre-Back,€100k,"Australia, Philippines"
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Substitutes,Ben Van Dorssen,19,Centre-Back,,Australia
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Substitutes,Christian Bracco,20,Right Winger,,"Australia, Italy"
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Substitutes,Will Dobson,17,Central Midfield,€75k,Australia
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Substitutes,Wellissol,26,Centre-Forward,€100k,Brazil
"Sun, 1/12/25",Newcastle United Jets,Macarthur FC,Substitutes,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Starting XI,Filip Kurto,33,Goalkeeper,€400k,Poland
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Starting XI,Oliver Jones,21,Centre-Back,€250k,Australia
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Starting XI,Dino Arslanagic,31,Centre-Back,€400k,"Belgium, Bosnia-Herzegovina"
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Starting XI,Kealey Adamson,21,Right-Back,€350k,"Australia, Tanzania"
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Starting XI,Luke Brattan,34,Defensive Midfield,€400k,"Australia, England"
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Starting XI,Liam Rose,27,Central Midfield,€250k,Australia
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Starting XI,Jake Hollman,23,Central Midfield,€400k,Australia
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Starting XI,Marin Jakolis,28,Left Winger,€850k,"Croatia, Australia"
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Starting XI,Jed Drew,21,Right Winger,€550k,Australia
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Starting XI,Valère Germain,34,Centre-Forward,€800k,France
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Substitutes,Alex Robinson,19,Goalkeeper,€50k,Australia
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Substitutes,Matthew Jurman,35,Centre-Back,€200k,"Australia, England"
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Substitutes,Walter Scott,25,Right Winger,€200k,Australia
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Substitutes,Frans Deli,19,Central Midfield,€100k,Australia
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Substitutes,Daniel De Silva,27,Central Midfield,€325k,Australia
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Substitutes,Bernardo Oliveira,20,Left Winger,€300k,"Australia, Brazil"
"Sun, 1/12/25",Macarthur FC,Newcastle United Jets,Substitutes,Harry Sawyer,28,Centre-Forward,€100k,Australia
