Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Starting XI,Oliver Sail,29,Goalkeeper,€350k,"New Zealand, Australia"
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Starting XI,Andriano Lebib,18,Centre-Back,€100k,Australia
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Starting XI,Zach Lisolajski,19,Left-Back,€125k,Australia
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Starting XI,Josh Risdon,32,Right-Back,€350k,Australia
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Starting XI,Taras Gomulka,23,Central Midfield,€350k,"Australia, Ukraine"
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Starting XI,Nicholas Pennington,26,Central Midfield,€350k,"Australia, Italy"
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Starting XI,Jaylan Pearman,18,Attacking Midfield,€50k,Australia
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Starting XI,William Freney,19,Left Winger,,Australia
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Starting XI,Trent Ostler,22,Right Winger,€200k,Australia
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Starting XI,Adam Taggart,31,Centre-Forward,€650k,Australia
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Substitutes,Anas Hamzaoui,28,Left-Back,€150k,"Belgium, Morocco"
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Substitutes,Brandon O'Neill,30,Central Midfield,€300k,Australia
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Substitutes,Adam Bugarija,19,Attacking Midfield,€150k,"Australia, Spain"
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Substitutes,Abdul Faisal,19,Right Winger,€150k,Australia
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Substitutes,Joel Anasmo,20,Left Winger,€75k,"Australia, Southern Sudan"
"Tue, 1/14/25",Perth Glory,Western Sydney Wanderers,Substitutes,Nathanael Blair,20,Centre-Forward,€125k,Australia
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Starting XI,Joshua Brillante,31,Centre-Back,€450k,"Australia, Italy"
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Starting XI,Jack Clisby,32,Left-Back,€350k,Australia
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Starting XI,Anthony Pantazopoulos,21,Right-Back,€150k,Australia
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Starting XI,Oscar Priestman,21,Central Midfield,€275k,Australia
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Starting XI,Juan Mata,36,Central Midfield,€500k,Spain
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Starting XI,Nicolas Milanovic,23,Right Winger,€700k,"Australia, Croatia"
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Starting XI,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Starting XI,Brandon Borrello,29,Centre-Forward,€750k,"Australia, Italy"
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Substitutes,Aidan Simmons,21,Right-Back,€300k,Australia
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Substitutes,Dean Pelekanos,24,Central Midfield,€175k,Australia
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Substitutes,Alex Badolato,19,Left Winger,€100k,Australia
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Substitutes,Aydan Hammond,21,Right Winger,€150k,"Australia, Peru"
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Substitutes,James Temelkovski,26,Centre-Forward,€100k,Australia
"Tue, 1/14/25",Western Sydney Wanderers,Perth Glory,Substitutes,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
