Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Starting XI,Alby Kelly-Heald,19,Goalkeeper,€100k,New Zealand
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Starting XI,Scott Wootton,33,Centre-Back,€275k,England
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Starting XI,Isaac Hughes,20,Centre-Back,€300k,"New Zealand, England"
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Starting XI,Matthew Sheridan,20,Right-Back,€250k,New Zealand
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Starting XI,Paulo Retre,31,Central Midfield,€350k,"Australia, Portugal"
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Starting XI,Kazuki Nagasawa,33,Central Midfield,€225k,Japan
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Starting XI,Corban Piper,22,Right Midfield,€250k,New Zealand
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Starting XI,Lukas Kelly-Heald,19,Left Midfield,€250k,New Zealand
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Starting XI,Hideki Ishige,30,Second Striker,€400k,Japan
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Starting XI,Kosta Barbarouses,34,Centre-Forward,€375k,"New Zealand, Greece"
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Substitutes,Joshua Oluwayemi,23,Goalkeeper,€300k,"Nigeria, England"
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Substitutes,Jayden Smith,17,Centre-Back,€100k,"New Zealand, England"
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Substitutes,Mohamed Al-Taay,24,Defensive Midfield,€275k,"Iraq, Australia"
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Substitutes,Fin Roa Conchie,21,Central Midfield,€200k,New Zealand
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Substitutes,Lachlan Candy,19,Attacking Midfield,€100k,New Zealand
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Substitutes,Nathan Walker,18,Right Winger,€175k,New Zealand
"Wed, 1/15/25",Wellington Phoenix,Sydney FC,Substitutes,Luke Supyk,18,Centre-Forward,€100k,"New Zealand, England"
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€200k,Australia
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Starting XI,Hayden Matthews,20,Centre-Back,€1.00m,Australia
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Starting XI,Rhyan Grant,33,Centre-Back,€450k,Australia
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Starting XI,Joel King,24,Left-Back,€400k,Australia
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Starting XI,Zach De Jesus,18,Right-Back,€50k,Australia
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Starting XI,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Starting XI,Léo Sena,29,Defensive Midfield,€550k,Brazil
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Starting XI,Anthony Cáceres,32,Attacking Midfield,€600k,"Australia, Uruguay"
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Starting XI,Adrian Segecic,20,Left Winger,€400k,"Australia, Croatia"
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Starting XI,Joe Lolley,32,Right Winger,€1.30m,England
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Substitutes,Andrew Redmayne,36,Goalkeeper,€300k,Australia
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Substitutes,Aaron Gurd,23,Centre-Back,€175k,"Australia, Thailand"
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Substitutes,Jordan Courtney-Perkins,22,Centre-Back,€450k,Australia
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Substitutes,Tiago Quintal,18,Right Winger,€100k,"Australia, Portugal"
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Substitutes,Joseph Lacey,17,Attacking Midfield,€25k,"Australia, England"
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Substitutes,Jaiden Kucharski,22,Left Winger,€400k,"Australia, Poland"
"Wed, 1/15/25",Sydney FC,Wellington Phoenix,Substitutes,Patrick Wood,22,Centre-Forward,€300k,Australia
