Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Anthony Pantazopoulos,21,Centre-Back,€150k,Australia
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Jack Clisby,32,Left-Back,€350k,Australia
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Jarrod Carluccio,23,Right-Back,€300k,Australia
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Joshua Brillante,31,Central Midfield,€450k,"Australia, Italy"
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Oscar Priestman,21,Central Midfield,€275k,Australia
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Aydan Hammond,21,Right Winger,€150k,"Australia, Peru"
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Brandon Borrello,29,Centre-Forward,€750k,"Australia, Italy"
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,Aidan Simmons,21,Right-Back,€300k,Australia
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,Dean Pelekanos,24,Central Midfield,€175k,Australia
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,Juan Mata,36,Right Winger,€500k,Spain
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,Nicolas Milanovic,23,Left Winger,€700k,"Australia, Croatia"
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,James Temelkovski,26,Centre-Forward,€100k,Australia
"Fri, 1/17/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Nathan Paull,21,Centre-Back,€325k,Australia
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Trent Sainsbury,33,Centre-Back,€500k,"Australia, England"
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Harrison Steele,22,Central Midfield,€300k,Australia
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Alfie McCalmont,24,Central Midfield,€300k,"Northern Ireland, England"
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Storm Roux,32,Right Midfield,€325k,"New Zealand, Australia"
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Christian Theoharous,25,Left Midfield,€300k,"Australia, Cyprus"
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Arthur De Lima,17,Left Winger,€50k,"Australia, Brazil"
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Mikael Doka,24,Right Winger,€450k,Brazil
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Sasha Kuzevski,23,Right-Back,€125k,Australia
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Lucas Scicluna,19,Defensive Midfield,,"Malta, Australia"
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Haine Eames,16,Central Midfield,€125k,Australia
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Vitor Feijão,28,Right Winger,€150k,Brazil
"Fri, 1/17/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Ryan Edmondson,23,Centre-Forward,€300k,England
