Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Starting XI,Matt Sutton,24,Goalkeeper,€300k,Australia
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Starting XI,Tomoki Imai,34,Centre-Back,€250k,Japan
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Starting XI,Dylan Leonard,17,Centre-Back,€250k,"Australia, Scotland"
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Starting XI,Ben Garuccio,29,Left-Back,€400k,"Australia, Italy"
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Starting XI,Tate Russell,25,Right-Back,€350k,Australia
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Starting XI,Rhys Bozinovski,20,Central Midfield,€275k,"Australia, Malta"
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Starting XI,Angus Thurgate,24,Central Midfield,€550k,Australia
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Starting XI,Abel Walatee,20,Left Winger,€200k,"Australia, Ghana"
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Starting XI,Riku Danzaki,24,Right Winger,€325k,Japan
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€225k,Japan
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Starting XI,Noah Botic,23,Centre-Forward,€400k,"Australia, Croatia"
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Substitutes,Tom Heward-Belle,27,Goalkeeper,€250k,Australia
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Substitutes,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Substitutes,Jordan Lauton,21,Central Midfield,€100k,Australia
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Substitutes,Ramy Najjarine,24,Left Winger,€300k,"Australia, Lebanon"
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Substitutes,Matthew Grimaldi,21,Left Winger,€250k,Australia
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Substitutes,Michael Ruhs,22,Centre-Forward,€150k,Australia
"Fri, 1/17/25",Western United FC,Newcastle United Jets,Substitutes,Luke Vickery,19,Centre-Forward,€25k,Australia
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Starting XI,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Starting XI,Nathan Grimaldi,23,Centre-Back,€100k,"Australia, Philippines"
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Starting XI,Lachlan Bayliss,22,Central Midfield,€250k,"New Zealand, Australia"
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Starting XI,Thomas Aquilina,23,Right Midfield,€375k,"Australia, Malta"
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Starting XI,Daniel Wilmering,24,Left Midfield,€300k,"Australia, Germany"
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Starting XI,Matthew Scarcella,20,Attacking Midfield,€100k,"Australia, Italy"
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Starting XI,Clayton Taylor,20,Attacking Midfield,€350k,Australia
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Starting XI,Ben Gibson,22,Centre-Forward,€175k,Australia
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Substitutes,Noah James,23,Goalkeeper,,Australia
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Substitutes,Ben Van Dorssen,19,Centre-Back,,Australia
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Substitutes,Christian Bracco,20,Defensive Midfield,,"Australia, Italy"
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Substitutes,Will Dobson,17,Central Midfield,€75k,Australia
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Substitutes,Wellissol,26,Centre-Forward,€100k,Brazil
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Substitutes,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Fri, 1/17/25",Newcastle United Jets,Western United FC,Substitutes,Justin Vidic,20,Centre-Forward,€100k,Australia
