Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Starting XI,Ethan Cox,21,Goalkeeper,€50k,Australia
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Starting XI,Panagiotis Kikianis,19,Centre-Back,€300k,Australia
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Starting XI,Dylan Pierias,24,Right-Back,€450k,"Australia, Italy"
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Starting XI,Jay Barnett,23,Defensive Midfield,€250k,Australia
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Starting XI,Ethan Alagich,21,Defensive Midfield,€350k,Australia
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Starting XI,Stefan Mauk,29,Attacking Midfield,€650k,"Australia, Germany"
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Starting XI,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Starting XI,Zach Clough,29,Right Winger,€650k,England
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Substitutes,James Delianov,25,Goalkeeper,€300k,Australia
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Substitutes,Isaías Sánchez,37,Left-Back,€150k,"Spain, Australia"
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Substitutes,Jonny Yull,19,Attacking Midfield,€225k,"Australia, England"
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Substitutes,Ryan White,20,Right Winger,€125k,Australia
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Substitutes,Austin Ayoubi,23,Left Winger,€200k,Australia
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Substitutes,Yaya Dukuly,22,Left Winger,€125k,"Australia, Guinea"
"Sat, 1/18/25",Adelaide United,Melbourne Victory,Substitutes,Luka Jovanovic,19,Centre-Forward,€300k,"Australia, Serbia"
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Starting XI,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Starting XI,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Starting XI,Roderick Miranda,33,Centre-Back,€700k,"Portugal, Brazil"
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Starting XI,Kasey Bos,20,Left-Back,€400k,"Australia, Netherlands"
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Starting XI,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Starting XI,Ryan Teague,22,Defensive Midfield,€450k,Australia
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Starting XI,Jordi Valadon,21,Defensive Midfield,€350k,Australia
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Starting XI,Zinédine Machach,29,Attacking Midfield,€650k,"France, Morocco"
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Starting XI,Daniel Arzani,26,Left Winger,€500k,Australia
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Starting XI,Clarismario,23,Right Winger,€350k,Brazil
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Starting XI,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Substitutes,Mitchell Langerak,36,Goalkeeper,€275k,Australia
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Substitutes,Joshua Inserra,19,Right-Back,€50k,Australia
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Substitutes,Adama Traoré,34,Left-Back,€150k,"Cote d'Ivoire, Australia"
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Substitutes,Fabian Monge,23,Central Midfield,€175k,Australia
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Substitutes,Nishan Velupillay,23,Left Winger,€400k,"Australia, Sri Lanka"
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Substitutes,Jing Reec,21,Right Winger,€150k,"Australia, Southern Sudan"
"Sat, 1/18/25",Melbourne Victory,Adelaide United,Substitutes,Nikolaos Vergos,29,Centre-Forward,€450k,Greece
