Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Starting XI,Nando Pijnaker,25,Centre-Back,€375k,"New Zealand, Netherlands"
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Starting XI,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Starting XI,Francis de Vries,30,Left-Back,€450k,New Zealand
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Starting XI,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Starting XI,Louis Verstraete,25,Defensive Midfield,€550k,Belgium
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Starting XI,Luis Felipe Gallegos,33,Defensive Midfield,€275k,"Chile, Italy"
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Starting XI,Jesse Randall,22,Left Winger,€250k,New Zealand
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Starting XI,Logan Rogerson,26,Right Winger,€350k,New Zealand
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Starting XI,Guillermo May,26,Centre-Forward,€750k,"Uruguay, Italy"
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Starting XI,Max Mata,24,Centre-Forward,€250k,"New Zealand, Cookinseln"
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Substitutes,Michael Woud,26,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Substitutes,Codey Phoenix,19,Left-Back,€100k,"New Zealand, Wales"
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Substitutes,Cameron Howieson,30,Central Midfield,€375k,"New Zealand, Scotland"
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Substitutes,Luis Toomey,23,Central Midfield,€250k,New Zealand
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Substitutes,Neyder Moreno,27,Attacking Midfield,€450k,Colombia
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Substitutes,Marlee Francois,22,Centre-Forward,,"Australia, England"
"Sat, 1/18/25",Auckland FC,Melbourne City FC,Substitutes,Liam Gillion,22,Left Winger,€400k,New Zealand
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Starting XI,Patrick Beach,21,Goalkeeper,€300k,Australia
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Starting XI,Kai Trewin,23,Centre-Back,€600k,Australia
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Starting XI,Aziz Behich,34,Left-Back,€350k,"Australia, Türkiye"
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Starting XI,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Starting XI,Nathaniel Atkinson,25,Defensive Midfield,€700k,Australia
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Starting XI,Zane Schreiber,19,Defensive Midfield,€200k,Australia
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Starting XI,Steven Ugarkovic,30,Attacking Midfield,€500k,"Australia, Croatia"
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Starting XI,Harry Politidis,22,Left Winger,€250k,Australia
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Starting XI,Benjamin Mazzeo,19,Right Winger,€150k,Australia
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Starting XI,Medin Memeti,17,Centre-Forward,€150k,Australia
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Substitutes,Jamie Young,39,Goalkeeper,€150k,"England, Australia"
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Substitutes,Germán Ferreyra,29,Right-Back,€300k,Argentina
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Substitutes,Lawrence Wong,17,Attacking Midfield,€50k,Australia
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Substitutes,Mikey Ghossaini,17,Centre-Forward,€50k,"Australia, Lebanon"
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Substitutes,Mathew Leckie,33,Centre-Forward,€450k,Australia
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Substitutes,Kavian Rahmani,18,Left Winger,€75k,Australia
"Sat, 1/18/25",Melbourne City FC,Auckland FC,Substitutes,Arion Sulemani,19,Centre-Forward,€125k,Australia
