Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€200k,Australia
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Starting XI,Hayden Matthews,20,Centre-Back,€1.00m,Australia
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Starting XI,Rhyan Grant,33,Centre-Back,€450k,Australia
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Starting XI,Joel King,24,Left-Back,€400k,Australia
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Starting XI,Zach De Jesus,18,Right-Back,€50k,Australia
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Starting XI,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Starting XI,Léo Sena,29,Defensive Midfield,€550k,Brazil
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Starting XI,Anthony Cáceres,32,Attacking Midfield,€600k,"Australia, Uruguay"
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Starting XI,Adrian Segecic,20,Left Winger,€400k,"Australia, Croatia"
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Starting XI,Joe Lolley,32,Right Winger,€1.30m,England
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Substitutes,Andrew Redmayne,36,Goalkeeper,€300k,Australia
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Substitutes,Alexandar Popovic,22,Centre-Back,€350k,Australia
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Substitutes,Jordan Courtney-Perkins,22,Left-Back,€450k,Australia
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Substitutes,Tiago Quintal,18,Attacking Midfield,€100k,"Australia, Portugal"
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Substitutes,Anas Ouahim,27,Left Winger,€600k,"Morocco, Germany"
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Substitutes,Jaiden Kucharski,22,Centre-Forward,€400k,"Australia, Poland"
"Sat, 1/18/25",Sydney FC,Brisbane Roar,Substitutes,Jaushua Sotirio,29,Centre-Forward,€250k,"Neukaledonien, Australia"
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Starting XI,Macklin Freke,26,Goalkeeper,€300k,"Australia, New Zealand"
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Starting XI,Lucas Herrington,17,Centre-Back,€125k,Australia
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Starting XI,Hosine Bility,23,Centre-Back,€100k,"Australia, Guinea"
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Starting XI,Louis Zabala,23,Left-Back,€200k,Australia
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Starting XI,Antonee Burke-Gilroy,27,Right-Back,€300k,"Australia, England"
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Starting XI,Sam Klein,20,Defensive Midfield,€50k,Australia
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Starting XI,Jay O'Shea,36,Defensive Midfield,€275k,Ireland
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Starting XI,Henry Hore,25,Attacking Midfield,€300k,Australia
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Starting XI,Keegan Jelacic,22,Left Winger,€300k,"Australia, New Zealand"
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Starting XI,Ben Halloran,32,Right Winger,€350k,Australia
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Starting XI,Adam Zimarino,23,Centre-Forward,€100k,Australia
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Substitutes,Matt Acton,32,Goalkeeper,€150k,"Australia, Finland"
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Substitutes,Corey Brown,31,Left-Back,€250k,Australia
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Substitutes,Jack Hingert,34,Right-Back,€150k,"Sri Lanka, Australia"
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Substitutes,Walid Shour,28,Defensive Midfield,€300k,"Lebanon, Sierra Leone"
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Substitutes,Florin Bérenguer,35,Attacking Midfield,€250k,France
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Substitutes,Rafael Struick,21,Left Winger,€200k,"Indonesia, Netherlands"
"Sat, 1/18/25",Brisbane Roar,Sydney FC,Substitutes,Jacob Brazete,18,Right Winger,€125k,"Australia, Portugal"
