Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Starting XI,Filip Kurto,33,Goalkeeper,€400k,Poland
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Starting XI,Matthew Jurman,35,Centre-Back,€200k,"Australia, England"
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Starting XI,Oliver Jones,21,Centre-Back,€250k,Australia
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Starting XI,Kealey Adamson,21,Right-Back,€350k,"Australia, Tanzania"
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Starting XI,Luke Brattan,34,Defensive Midfield,€400k,"Australia, England"
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Starting XI,Liam Rose,27,Central Midfield,€250k,Australia
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Starting XI,Jake Hollman,23,Central Midfield,€400k,Australia
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Starting XI,Bernardo Oliveira,20,Left Winger,€300k,"Australia, Brazil"
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Starting XI,Jed Drew,21,Right Winger,€550k,Australia
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Starting XI,Valère Germain,34,Centre-Forward,€800k,France
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Substitutes,Alex Robinson,19,Goalkeeper,€50k,Australia
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Substitutes,Tomislav Uskok,33,Centre-Back,€250k,"Australia, Croatia"
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Substitutes,Walter Scott,25,Right-Back,€200k,Australia
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Substitutes,Frans Deli,19,Central Midfield,€100k,Australia
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Substitutes,Daniel De Silva,27,Central Midfield,€325k,Australia
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Substitutes,Marin Jakolis,28,Left Winger,€850k,"Croatia, Australia"
"Mon, 1/20/25",Macarthur FC,Wellington Phoenix,Substitutes,Chris Ikonomidis,29,Right Winger,€300k,"Australia, Greece"
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Starting XI,Alby Kelly-Heald,19,Goalkeeper,€100k,New Zealand
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Starting XI,Scott Wootton,33,Centre-Back,€275k,England
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Starting XI,Isaac Hughes,20,Centre-Back,€300k,"New Zealand, England"
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Starting XI,Lukas Kelly-Heald,19,Left-Back,€250k,New Zealand
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Starting XI,Corban Piper,22,Right-Back,€250k,New Zealand
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Starting XI,Paulo Retre,31,Central Midfield,€350k,"Australia, Portugal"
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Starting XI,Kazuki Nagasawa,33,Central Midfield,€225k,Japan
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Starting XI,Hideki Ishige,30,Right Midfield,€400k,Japan
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Starting XI,Sam Sutton,23,Left Midfield,€350k,"New Zealand, England"
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Starting XI,Kosta Barbarouses,34,Centre-Forward,€375k,"New Zealand, Greece"
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Starting XI,Luke Supyk,18,Centre-Forward,€100k,"New Zealand, England"
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Substitutes,Joshua Oluwayemi,23,Goalkeeper,€300k,"Nigeria, England"
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Substitutes,Jayden Smith,17,Centre-Back,€100k,"New Zealand, England"
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Substitutes,Tze-xuan Loke,19,Right-Back,€100k,"New Zealand, Singapore"
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Substitutes,Fin Roa Conchie,21,Central Midfield,€200k,New Zealand
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Substitutes,Lachlan Candy,19,Attacking Midfield,€100k,New Zealand
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Substitutes,Luke Brooke-Smith,16,Attacking Midfield,€75k,New Zealand
"Mon, 1/20/25",Wellington Phoenix,Macarthur FC,Substitutes,Nathan Walker,18,Right Winger,€175k,New Zealand
