Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Wed, 1/22/25",Adelaide United,Auckland FC,Starting XI,Ethan Cox,21,Goalkeeper,€50k,Australia
"Wed, 1/22/25",Adelaide United,Auckland FC,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Wed, 1/22/25",Adelaide United,Auckland FC,Starting XI,Panagiotis Kikianis,19,Centre-Back,€300k,Australia
"Wed, 1/22/25",Adelaide United,Auckland FC,Starting XI,Javi López,39,Left-Back,€125k,Spain
"Wed, 1/22/25",Adelaide United,Auckland FC,Starting XI,Dylan Pierias,24,Right-Back,€450k,"Australia, Italy"
"Wed, 1/22/25",Adelaide United,Auckland FC,Starting XI,Isaías Sánchez,37,Defensive Midfield,€150k,"Spain, Australia"
"Wed, 1/22/25",Adelaide United,Auckland FC,Starting XI,Ethan Alagich,21,Defensive Midfield,€350k,Australia
"Wed, 1/22/25",Adelaide United,Auckland FC,Starting XI,Stefan Mauk,29,Attacking Midfield,€650k,"Australia, Germany"
"Wed, 1/22/25",Adelaide United,Auckland FC,Starting XI,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Wed, 1/22/25",Adelaide United,Auckland FC,Starting XI,Jonny Yull,19,Right Winger,€225k,"Australia, England"
"Wed, 1/22/25",Adelaide United,Auckland FC,Starting XI,Luka Jovanovic,19,Centre-Forward,€300k,"Australia, Serbia"
"Wed, 1/22/25",Adelaide United,Auckland FC,Substitutes,James Delianov,25,Goalkeeper,€300k,Australia
"Wed, 1/22/25",Adelaide United,Auckland FC,Substitutes,Fabian Talladira,18,Left-Back,€25k,Australia
"Wed, 1/22/25",Adelaide United,Auckland FC,Substitutes,Jay Barnett,23,Central Midfield,€250k,Australia
"Wed, 1/22/25",Adelaide United,Auckland FC,Substitutes,Ryan White,20,Attacking Midfield,€125k,Australia
"Wed, 1/22/25",Adelaide United,Auckland FC,Substitutes,Yaya Dukuly,22,Left Winger,€125k,"Australia, Guinea"
"Wed, 1/22/25",Adelaide United,Auckland FC,Substitutes,Zach Clough,29,Right Winger,€650k,England
"Wed, 1/22/25",Adelaide United,Auckland FC,Substitutes,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Wed, 1/22/25",Auckland FC,Adelaide United,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Wed, 1/22/25",Auckland FC,Adelaide United,Starting XI,Nando Pijnaker,25,Centre-Back,€375k,"New Zealand, Netherlands"
"Wed, 1/22/25",Auckland FC,Adelaide United,Starting XI,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Wed, 1/22/25",Auckland FC,Adelaide United,Starting XI,Francis de Vries,30,Left-Back,€450k,New Zealand
"Wed, 1/22/25",Auckland FC,Adelaide United,Starting XI,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Wed, 1/22/25",Auckland FC,Adelaide United,Starting XI,Louis Verstraete,25,Central Midfield,€550k,Belgium
"Wed, 1/22/25",Auckland FC,Adelaide United,Starting XI,Luis Felipe Gallegos,33,Central Midfield,€275k,"Chile, Italy"
"Wed, 1/22/25",Auckland FC,Adelaide United,Starting XI,Jesse Randall,22,Left Winger,€250k,New Zealand
"Wed, 1/22/25",Auckland FC,Adelaide United,Starting XI,Logan Rogerson,26,Right Winger,€350k,New Zealand
"Wed, 1/22/25",Auckland FC,Adelaide United,Starting XI,Guillermo May,26,Centre-Forward,€750k,"Uruguay, Italy"
"Wed, 1/22/25",Auckland FC,Adelaide United,Starting XI,Max Mata,24,Centre-Forward,€250k,"New Zealand, Cookinseln"
"Wed, 1/22/25",Auckland FC,Adelaide United,Substitutes,Michael Woud,26,Goalkeeper,€200k,"New Zealand, Netherlands"
"Wed, 1/22/25",Auckland FC,Adelaide United,Substitutes,Adama Coulibaly,20,Centre-Back,€100k,"New Zealand, Mali"
"Wed, 1/22/25",Auckland FC,Adelaide United,Substitutes,Cameron Howieson,30,Central Midfield,€375k,"New Zealand, Scotland"
"Wed, 1/22/25",Auckland FC,Adelaide United,Substitutes,Jake Brimmer,26,Attacking Midfield,€650k,"Australia, Malta"
"Wed, 1/22/25",Auckland FC,Adelaide United,Substitutes,Neyder Moreno,27,Left Winger,€450k,Colombia
"Wed, 1/22/25",Auckland FC,Adelaide United,Substitutes,Marlee Francois,22,Left Winger,,"Australia, England"
"Wed, 1/22/25",Auckland FC,Adelaide United,Substitutes,Jonty Bidois,20,Centre-Forward,€150k,New Zealand
