Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Starting XI,Mitchell Langerak,36,Goalkeeper,€275k,Australia
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Starting XI,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Starting XI,Roderick Miranda,33,Centre-Back,€700k,"Portugal, Brazil"
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Starting XI,Kasey Bos,20,Left-Back,€400k,"Australia, Netherlands"
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Starting XI,Joshua Rawlins,20,Right-Back,€250k,Australia
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Starting XI,Ryan Teague,23,Defensive Midfield,€450k,Australia
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Starting XI,Jordi Valadon,21,Defensive Midfield,€350k,Australia
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Starting XI,Zinédine Machach,29,Attacking Midfield,€650k,"France, Morocco"
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Starting XI,Nishan Velupillay,23,Left Winger,€400k,"Australia, Sri Lanka"
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Starting XI,Clarismario,23,Right Winger,€350k,Brazil
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Starting XI,Nikolaos Vergos,29,Centre-Forward,€450k,Greece
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Substitutes,Jack Duncan,31,Goalkeeper,€250k,Australia
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Substitutes,Joshua Inserra,20,Centre-Back,€50k,Australia
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Substitutes,Adama Traoré,34,Left-Back,€150k,"Cote d'Ivoire, Australia"
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Substitutes,Fabian Monge,23,Defensive Midfield,€175k,Australia
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Substitutes,Reno Piscopo,26,Right Winger,€500k,"Australia, Italy"
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Substitutes,Daniel Arzani,26,Left Winger,€500k,Australia
"Fri, 1/24/25",Melbourne Victory,Sydney FC,Substitutes,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€200k,Australia
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Starting XI,Alexandar Popovic,22,Centre-Back,€350k,Australia
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Starting XI,Rhyan Grant,33,Centre-Back,€450k,Australia
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Starting XI,Joel King,24,Left-Back,€400k,Australia
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Starting XI,Zach De Jesus,18,Right-Back,€50k,Australia
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Starting XI,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Starting XI,Léo Sena,29,Defensive Midfield,€550k,Brazil
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Starting XI,Anas Ouahim,27,Attacking Midfield,€600k,"Morocco, Germany"
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Starting XI,Adrian Segecic,20,Left Winger,€400k,"Australia, Croatia"
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Starting XI,Joe Lolley,32,Right Winger,€1.30m,England
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Substitutes,Andrew Redmayne,36,Goalkeeper,€300k,Australia
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Substitutes,Aaron Gurd,23,Centre-Back,€175k,"Australia, Thailand"
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Substitutes,Jordan Courtney-Perkins,22,Left-Back,€450k,Australia
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Substitutes,Tiago Quintal,18,Left Winger,€100k,"Australia, Portugal"
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Substitutes,Joseph Lacey,17,Attacking Midfield,€25k,"Australia, England"
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Substitutes,Jaiden Kucharski,22,Centre-Forward,€400k,"Australia, Poland"
"Fri, 1/24/25",Sydney FC,Melbourne Victory,Substitutes,Jaushua Sotirio,29,Right Winger,€250k,"Neukaledonien, Australia"
