Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Starting XI,Filip Kurto,33,Goalkeeper,€400k,Poland
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Starting XI,Matthew Jurman,35,Centre-Back,€200k,"Australia, England"
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Starting XI,Tomislav Uskok,33,Centre-Back,€250k,"Australia, Croatia"
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Starting XI,Walter Scott,25,Left-Back,€200k,Australia
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Starting XI,Kealey Adamson,21,Right-Back,€350k,"Australia, Tanzania"
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Starting XI,Luke Brattan,34,Defensive Midfield,€400k,"Australia, England"
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Starting XI,Frans Deli,19,Defensive Midfield,€100k,Australia
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Starting XI,Jake Hollman,23,Attacking Midfield,€400k,Australia
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Starting XI,Marin Jakolis,28,Left Winger,€850k,"Croatia, Australia"
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Starting XI,Jed Drew,21,Right Winger,€550k,Australia
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Starting XI,Valère Germain,34,Centre-Forward,€800k,France
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Substitutes,Alex Robinson,19,Goalkeeper,€50k,Australia
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Substitutes,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Substitutes,Yianni Nicolaou,25,Right-Back,€150k,"Australia, Greece"
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Substitutes,Daniel De Silva,27,Attacking Midfield,€325k,Australia
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Substitutes,Bernardo Oliveira,20,Right Winger,€300k,"Australia, Brazil"
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Substitutes,Chris Ikonomidis,29,Left Winger,€300k,"Australia, Greece"
"Sat, 1/25/25",Macarthur FC,Melbourne City FC,Substitutes,Harry Sawyer,28,Centre-Forward,€100k,Australia
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Starting XI,Patrick Beach,21,Goalkeeper,€300k,Australia
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Starting XI,Kai Trewin,23,Centre-Back,€600k,Australia
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Starting XI,Aziz Behich,34,Left-Back,€350k,"Australia, Türkiye"
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Starting XI,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Starting XI,Steven Ugarkovic,30,Defensive Midfield,€500k,"Australia, Croatia"
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Starting XI,Nathaniel Atkinson,25,Attacking Midfield,€700k,Australia
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Starting XI,Lawrence Wong,17,Attacking Midfield,€50k,Australia
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Starting XI,Kavian Rahmani,18,Left Winger,€75k,Australia
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Starting XI,Benjamin Mazzeo,19,Right Winger,€150k,Australia
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Starting XI,Arion Sulemani,19,Centre-Forward,€125k,Australia
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Substitutes,Jamie Young,39,Goalkeeper,€150k,"England, Australia"
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Substitutes,Germán Ferreyra,29,Centre-Back,€300k,Argentina
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Substitutes,Harry Politidis,22,Left Winger,€250k,Australia
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Substitutes,Zane Schreiber,19,Central Midfield,€200k,Australia
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Substitutes,Mikey Ghossaini,17,Right Winger,€50k,"Australia, Lebanon"
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Substitutes,Mathew Leckie,33,Centre-Forward,€450k,Australia
"Sat, 1/25/25",Melbourne City FC,Macarthur FC,Substitutes,Marco Tilio,23,Centre-Forward,€800k,Australia
