Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Starting XI,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Starting XI,Daniel Wilmering,24,Left-Back,€300k,"Australia, Germany"
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Starting XI,Thomas Aquilina,23,Right-Back,€375k,"Australia, Malta"
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Starting XI,Lachlan Bayliss,22,Central Midfield,€250k,"New Zealand, Australia"
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Starting XI,Clayton Taylor,20,Left Winger,€350k,Australia
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Starting XI,Will Dobson,17,Right Winger,€75k,Australia
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Starting XI,Eli Adams,22,Centre-Forward,€250k,Australia
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Starting XI,Ben Gibson,22,Centre-Forward,€175k,Australia
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Substitutes,Noah James,23,Goalkeeper,,Australia
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Substitutes,Nathan Grimaldi,23,Centre-Back,€100k,"Australia, Philippines"
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Substitutes,Matthew Scarcella,20,Central Midfield,€100k,"Australia, Italy"
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Substitutes,Charles M'Mombwa,26,Central Midfield,€200k,"Tanzania, Australia"
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Substitutes,Wellissol,26,Centre-Forward,€100k,Brazil
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Substitutes,Kota Mizunuma,34,Right Winger,€350k,Japan
"Sat, 1/25/25",Newcastle United Jets,Perth Glory,Substitutes,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Starting XI,Oliver Sail,29,Goalkeeper,€350k,"New Zealand, Australia"
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Starting XI,Tass Mourdoukoutas,25,Centre-Back,€200k,"Australia, Greece"
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Starting XI,Zach Lisolajski,19,Left-Back,€125k,Australia
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Starting XI,Josh Risdon,32,Right-Back,€350k,Australia
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Starting XI,Brandon O'Neill,30,Central Midfield,€300k,Australia
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Starting XI,Taras Gomulka,23,Central Midfield,€350k,"Australia, Ukraine"
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Starting XI,Jaylan Pearman,18,Left Winger,€50k,Australia
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Starting XI,Trent Ostler,22,Right Winger,€200k,Australia
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Starting XI,Adam Taggart,31,Centre-Forward,€650k,Australia
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Starting XI,Patrick Wood,22,Centre-Forward,€300k,Australia
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Substitutes,Yuto Misao,33,Centre-Back,€125k,Japan
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Substitutes,Kaelan Majekodunmi,20,Centre-Back,€100k,"Australia, England"
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Substitutes,William Freney,19,Central Midfield,,Australia
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Substitutes,Adam Bugarija,19,Attacking Midfield,€150k,"Australia, Spain"
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Substitutes,Lachlan Wales,27,Left Winger,€450k,Australia
"Sat, 1/25/25",Perth Glory,Newcastle United Jets,Substitutes,Joel Anasmo,20,Right Winger,€75k,"Australia, Southern Sudan"
