Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Starting XI,Alby Kelly-Heald,19,Goalkeeper,€100k,New Zealand
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Starting XI,Scott Wootton,33,Centre-Back,€275k,England
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Starting XI,Isaac Hughes,20,Centre-Back,€300k,"New Zealand, England"
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Starting XI,Corban Piper,22,Right-Back,€250k,New Zealand
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Starting XI,Paulo Retre,31,Central Midfield,€350k,"Australia, Portugal"
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Starting XI,Matthew Sheridan,20,Central Midfield,€250k,New Zealand
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Starting XI,Nathan Walker,18,Left Winger,€175k,New Zealand
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Starting XI,Hideki Ishige,30,Right Winger,€400k,Japan
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Starting XI,Kazuki Nagasawa,33,Second Striker,€225k,Japan
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Starting XI,Kosta Barbarouses,34,Centre-Forward,€375k,"New Zealand, Greece"
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Substitutes,Joshua Oluwayemi,23,Goalkeeper,€300k,"Nigeria, England"
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Substitutes,Jayden Smith,17,Centre-Back,€100k,"New Zealand, England"
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Substitutes,Tze-xuan Loke,19,Right-Back,€100k,"New Zealand, Singapore"
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Substitutes,Fin Roa Conchie,21,Central Midfield,€200k,New Zealand
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Substitutes,Lachlan Candy,19,Attacking Midfield,€100k,New Zealand
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Substitutes,Luke Brooke-Smith,16,Attacking Midfield,€75k,New Zealand
"Sat, 1/25/25",Wellington Phoenix,Central Coast Mariners,Substitutes,Luke Supyk,18,Right Winger,€100k,"New Zealand, England"
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Starting XI,Diesel Herrington,20,Centre-Back,€150k,Australia
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Starting XI,Nathan Paull,21,Left-Back,€325k,Australia
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Starting XI,Storm Roux,32,Right-Back,€325k,"New Zealand, Australia"
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Starting XI,Harrison Steele,22,Central Midfield,€300k,Australia
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Starting XI,Haine Eames,16,Central Midfield,€125k,Australia
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Starting XI,Christian Theoharous,25,Left Winger,€300k,"Australia, Cyprus"
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Starting XI,Mikael Doka,25,Right Winger,€450k,Brazil
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Starting XI,Arthur De Lima,17,Centre-Forward,€50k,"Australia, Brazil"
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Substitutes,Michael Paragalli,18,Centre-Back,,Australia
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Substitutes,Sasha Kuzevski,23,Left-Back,€125k,Australia
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Substitutes,Lucas Scicluna,19,Defensive Midfield,,"Malta, Australia"
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Substitutes,Vitor Feijão,28,Left Winger,€150k,Brazil
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Substitutes,Abdul Faisal,19,Left Winger,€150k,Australia
"Sat, 1/25/25",Central Coast Mariners,Wellington Phoenix,Substitutes,Ryan Edmondson,23,Centre-Forward,€300k,England
