Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Starting XI,Joshua Brillante,31,Centre-Back,€450k,"Australia, Italy"
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Starting XI,Jack Clisby,32,Left-Back,€350k,Australia
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Starting XI,Anthony Pantazopoulos,21,Right-Back,€150k,Australia
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Starting XI,Oscar Priestman,21,Central Midfield,€275k,Australia
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Starting XI,Juan Mata,36,Central Midfield,€500k,Spain
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Starting XI,Nicolas Milanovic,23,Right Winger,€700k,"Australia, Croatia"
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Starting XI,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Starting XI,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Substitutes,Aidan Simmons,21,Left Winger,€300k,Australia
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Substitutes,Mohamed Al-Taay,24,Central Midfield,€275k,"Iraq, Australia"
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Substitutes,Dean Pelekanos,24,Central Midfield,€175k,Australia
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Substitutes,Jarrod Carluccio,23,Right Winger,€300k,Australia
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Substitutes,Aydan Hammond,21,Right Winger,€150k,"Australia, Peru"
"Sun, 1/26/25",Western Sydney Wanderers,Auckland FC,Substitutes,James Temelkovski,26,Centre-Forward,€100k,Australia
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Starting XI,Nando Pijnaker,25,Centre-Back,€375k,"New Zealand, Netherlands"
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Starting XI,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Starting XI,Francis de Vries,30,Left-Back,€450k,New Zealand
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Starting XI,Hiroki Sakai,34,Right-Back,€550k,Japan
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Starting XI,Louis Verstraete,25,Central Midfield,€550k,Belgium
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Starting XI,Jake Brimmer,26,Central Midfield,€650k,"Australia, Malta"
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Starting XI,Jesse Randall,22,Left Winger,€250k,New Zealand
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Starting XI,Logan Rogerson,26,Right Winger,€350k,New Zealand
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Starting XI,Guillermo May,26,Centre-Forward,€750k,"Uruguay, Italy"
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Starting XI,Max Mata,24,Centre-Forward,€250k,"New Zealand, Cookinseln"
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Substitutes,Michael Woud,26,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Substitutes,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Substitutes,Cameron Howieson,30,Central Midfield,€375k,"New Zealand, Scotland"
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Substitutes,Luis Felipe Gallegos,33,Central Midfield,€275k,"Chile, Italy"
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Substitutes,Neyder Moreno,27,Left Winger,€450k,Colombia
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Substitutes,Marlee Francois,22,Right Winger,,"Australia, England"
"Sun, 1/26/25",Auckland FC,Western Sydney Wanderers,Substitutes,Jonty Bidois,20,Centre-Forward,€150k,New Zealand
