Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Starting XI,Matt Sutton,24,Goalkeeper,€300k,Australia
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Starting XI,Tomoki Imai,34,Centre-Back,€250k,Japan
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Starting XI,Dylan Leonard,17,Centre-Back,€250k,"Australia, Scotland"
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Starting XI,Ben Garuccio,29,Left-Back,€400k,"Australia, Italy"
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Starting XI,Tate Russell,25,Right-Back,€350k,Australia
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Starting XI,Rhys Bozinovski,20,Central Midfield,€275k,"Australia, Malta"
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Starting XI,Angus Thurgate,24,Central Midfield,€550k,Australia
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Starting XI,Matthew Grimaldi,21,Left Winger,€250k,Australia
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Starting XI,Riku Danzaki,24,Right Winger,€325k,Japan
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€225k,Japan
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Starting XI,Noah Botic,23,Centre-Forward,€400k,"Australia, Croatia"
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Substitutes,Michael Vonja,19,Goalkeeper,€25k,Australia
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Substitutes,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Substitutes,Jordan Lauton,21,Central Midfield,€100k,Australia
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Substitutes,Abel Walatee,20,Left Winger,€200k,"Australia, Ghana"
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Substitutes,Jake Najdovski,19,Centre-Forward,€50k,Australia
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Substitutes,Michael Ruhs,22,Centre-Forward,€150k,Australia
"Wed, 1/29/25",Western United FC,Central Coast Mariners,Substitutes,Luke Vickery,19,Right Winger,€25k,Australia
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Starting XI,Trent Sainsbury,33,Centre-Back,€500k,"Australia, England"
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Starting XI,Nathan Paull,21,Left-Back,€325k,Australia
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Starting XI,Storm Roux,32,Right-Back,€325k,"New Zealand, Australia"
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Starting XI,Harrison Steele,22,Central Midfield,€300k,Australia
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Starting XI,Haine Eames,16,Central Midfield,€125k,Australia
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Starting XI,Christian Theoharous,25,Left Winger,€300k,"Australia, Cyprus"
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Starting XI,Mikael Doka,25,Right Winger,€450k,Brazil
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Starting XI,Arthur De Lima,17,Centre-Forward,€50k,"Australia, Brazil"
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Starting XI,Ryan Edmondson,23,Centre-Forward,€300k,England
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Substitutes,Sasha Kuzevski,23,Right Winger,€125k,Australia
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Substitutes,Lucas Scicluna,19,Central Midfield,,"Malta, Australia"
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Substitutes,Vitor Feijão,28,Centre-Forward,€150k,Brazil
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Substitutes,Abdul Faisal,19,Left Winger,€150k,Australia
"Wed, 1/29/25",Central Coast Mariners,Western United FC,Substitutes,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
