Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Starting XI,Macklin Freke,26,Goalkeeper,€300k,"Australia, New Zealand"
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Starting XI,Lucas Herrington,17,Centre-Back,€125k,Australia
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Starting XI,Hosine Bility,23,Centre-Back,€100k,"Australia, Guinea"
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Starting XI,Louis Zabala,24,Left-Back,€200k,Australia
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Starting XI,Antonee Burke-Gilroy,27,Right-Back,€300k,"Australia, England"
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Starting XI,Sam Klein,20,Defensive Midfield,€50k,Australia
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Starting XI,Jay O'Shea,36,Defensive Midfield,€275k,Ireland
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Starting XI,Adam Zimarino,23,Attacking Midfield,€100k,Australia
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Starting XI,Keegan Jelacic,22,Left Winger,€300k,"Australia, New Zealand"
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Starting XI,Ben Halloran,32,Right Winger,€350k,Australia
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Starting XI,Henry Hore,25,Centre-Forward,€300k,Australia
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Substitutes,Matt Acton,32,Goalkeeper,€150k,"Australia, Finland"
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Substitutes,Scott Neville,36,Centre-Back,€100k,"Australia, England"
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Substitutes,Corey Brown,31,Left-Back,€250k,Australia
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Substitutes,Walid Shour,28,Defensive Midfield,€300k,"Lebanon, Sierra Leone"
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Substitutes,Florin Bérenguer,35,Attacking Midfield,€250k,France
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Substitutes,Rafael Struick,21,Left Winger,€200k,"Indonesia, Netherlands"
"Fri, 1/31/25",Brisbane Roar,Western Sydney Wanderers,Substitutes,Jacob Brazete,19,Left Winger,€125k,"Australia, Portugal"
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Starting XI,Joshua Brillante,31,Centre-Back,€450k,"Australia, Italy"
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Starting XI,Anthony Pantazopoulos,21,Left-Back,€150k,Australia
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Starting XI,Gabriel Cléùr,27,Right-Back,€400k,"Australia, Italy"
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Starting XI,Oscar Priestman,21,Central Midfield,€275k,Australia
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Starting XI,Juan Mata,36,Central Midfield,€500k,Spain
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Starting XI,Nicolas Milanovic,23,Right Winger,€700k,"Australia, Croatia"
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Starting XI,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Starting XI,Brandon Borrello,29,Centre-Forward,€750k,"Australia, Italy"
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Substitutes,Mohamed Al-Taay,24,Central Midfield,€275k,"Iraq, Australia"
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Substitutes,Dean Pelekanos,24,Central Midfield,€175k,Australia
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Substitutes,Jarrod Carluccio,23,Right-Back,€300k,Australia
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Substitutes,Aydan Hammond,21,Right Winger,€150k,"Australia, Peru"
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Substitutes,James Temelkovski,26,Centre-Forward,€100k,Australia
"Fri, 1/31/25",Western Sydney Wanderers,Brisbane Roar,Substitutes,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
