Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 2/1/25",Auckland FC,Macarthur FC,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Sat, 2/1/25",Auckland FC,Macarthur FC,Starting XI,Nando Pijnaker,25,Centre-Back,€375k,"New Zealand, Netherlands"
"Sat, 2/1/25",Auckland FC,Macarthur FC,Starting XI,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sat, 2/1/25",Auckland FC,Macarthur FC,Starting XI,Francis de Vries,30,Left-Back,€450k,New Zealand
"Sat, 2/1/25",Auckland FC,Macarthur FC,Starting XI,Hiroki Sakai,34,Right-Back,€550k,Japan
"Sat, 2/1/25",Auckland FC,Macarthur FC,Starting XI,Louis Verstraete,25,Central Midfield,€550k,Belgium
"Sat, 2/1/25",Auckland FC,Macarthur FC,Starting XI,Jake Brimmer,26,Central Midfield,€650k,"Australia, Malta"
"Sat, 2/1/25",Auckland FC,Macarthur FC,Starting XI,Neyder Moreno,27,Left Winger,€450k,Colombia
"Sat, 2/1/25",Auckland FC,Macarthur FC,Starting XI,Logan Rogerson,26,Right Winger,€350k,New Zealand
"Sat, 2/1/25",Auckland FC,Macarthur FC,Starting XI,Guillermo May,26,Centre-Forward,€750k,"Uruguay, Italy"
"Sat, 2/1/25",Auckland FC,Macarthur FC,Starting XI,Max Mata,24,Centre-Forward,€250k,"New Zealand, Cookinseln"
"Sat, 2/1/25",Auckland FC,Macarthur FC,Substitutes,Michael Woud,26,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sat, 2/1/25",Auckland FC,Macarthur FC,Substitutes,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Sat, 2/1/25",Auckland FC,Macarthur FC,Substitutes,Cameron Howieson,30,Central Midfield,€375k,"New Zealand, Scotland"
"Sat, 2/1/25",Auckland FC,Macarthur FC,Substitutes,Luis Felipe Gallegos,33,Central Midfield,€275k,"Chile, Italy"
"Sat, 2/1/25",Auckland FC,Macarthur FC,Substitutes,Marlee Francois,22,Left Winger,€50k,"Australia, England"
"Sat, 2/1/25",Auckland FC,Macarthur FC,Substitutes,Liam Gillion,22,Left Winger,€400k,New Zealand
"Sat, 2/1/25",Auckland FC,Macarthur FC,Substitutes,Jesse Randall,22,Right Winger,€250k,New Zealand
"Sat, 2/1/25",Macarthur FC,Auckland FC,Starting XI,Filip Kurto,33,Goalkeeper,€400k,Poland
"Sat, 2/1/25",Macarthur FC,Auckland FC,Starting XI,Tomislav Uskok,33,Centre-Back,€250k,"Australia, Croatia"
"Sat, 2/1/25",Macarthur FC,Auckland FC,Starting XI,Joshua Damevski,19,Centre-Back,€50k,Australia
"Sat, 2/1/25",Macarthur FC,Auckland FC,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Sat, 2/1/25",Macarthur FC,Auckland FC,Starting XI,Kealey Adamson,21,Right-Back,€350k,"Australia, Tanzania"
"Sat, 2/1/25",Macarthur FC,Auckland FC,Starting XI,Luke Brattan,34,Central Midfield,€400k,"Australia, England"
"Sat, 2/1/25",Macarthur FC,Auckland FC,Starting XI,Frans Deli,19,Central Midfield,€100k,Australia
"Sat, 2/1/25",Macarthur FC,Auckland FC,Starting XI,Jake Hollman,23,Attacking Midfield,€400k,Australia
"Sat, 2/1/25",Macarthur FC,Auckland FC,Starting XI,Marin Jakolis,28,Left Winger,€850k,"Croatia, Australia"
"Sat, 2/1/25",Macarthur FC,Auckland FC,Starting XI,Chris Ikonomidis,29,Right Winger,€300k,"Australia, Greece"
"Sat, 2/1/25",Macarthur FC,Auckland FC,Starting XI,Valère Germain,34,Centre-Forward,€800k,France
"Sat, 2/1/25",Macarthur FC,Auckland FC,Substitutes,Alex Robinson,19,Goalkeeper,€50k,Australia
"Sat, 2/1/25",Macarthur FC,Auckland FC,Substitutes,Walter Scott,25,Centre-Back,€200k,Australia
"Sat, 2/1/25",Macarthur FC,Auckland FC,Substitutes,Ante Vojvodic,19,Right Midfield,,Australia
"Sat, 2/1/25",Macarthur FC,Auckland FC,Substitutes,Oliver Randazzo,19,Central Midfield,€50k,Australia
"Sat, 2/1/25",Macarthur FC,Auckland FC,Substitutes,Dean Bosnjak,18,Right Winger,€125k,Australia
"Sat, 2/1/25",Macarthur FC,Auckland FC,Substitutes,Harry Sawyer,28,Centre-Forward,€100k,Australia
