Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Trent Sainsbury,33,Centre-Back,€500k,"Australia, England"
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Nathan Paull,21,Left-Back,€325k,Australia
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Storm Roux,32,Right-Back,€325k,"New Zealand, Australia"
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Harrison Steele,22,Central Midfield,€300k,Australia
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Haine Eames,16,Central Midfield,€125k,Australia
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Abdul Faisal,19,Left Winger,€150k,Australia
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Christian Theoharous,25,Right Winger,€300k,"Australia, Cyprus"
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Mikael Doka,25,Second Striker,€450k,Brazil
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Ryan Edmondson,23,Centre-Forward,€300k,England
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Sasha Kuzevski,23,Right-Back,€125k,Australia
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Lucas Scicluna,19,Defensive Midfield,,"Malta, Australia"
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Vitor Feijão,28,Left Winger,€150k,Brazil
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Arthur De Lima,17,Right Winger,€50k,"Australia, Brazil"
"Sat, 2/1/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Daniel Wilmering,24,Left-Back,€300k,"Australia, Germany"
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Phillip Cancar,23,Right-Back,€350k,"Croatia, Australia"
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Lachlan Bayliss,22,Central Midfield,€250k,"New Zealand, Australia"
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Clayton Taylor,20,Left Winger,€350k,Australia
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Thomas Aquilina,23,Right Winger,€375k,"Australia, Malta"
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Eli Adams,22,Centre-Forward,€250k,Australia
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Ben Gibson,22,Centre-Forward,€175k,Australia
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Noah James,23,Goalkeeper,,Australia
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Matthew Scarcella,20,Central Midfield,€100k,"Australia, Italy"
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Charles M'Mombwa,26,Central Midfield,€200k,"Tanzania, Australia"
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Will Dobson,17,Central Midfield,€75k,Australia
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Wellissol,26,Left Winger,€100k,Brazil
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Kota Mizunuma,34,Right Winger,€350k,Japan
"Sat, 2/1/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Lachlan Rose,25,Centre-Forward,€275k,Australia
