Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Starting XI,Oliver Sail,29,Goalkeeper,€350k,"New Zealand, Australia"
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Starting XI,Tass Mourdoukoutas,25,Centre-Back,€200k,"Australia, Greece"
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Starting XI,Zach Lisolajski,19,Left-Back,€125k,Australia
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Starting XI,Josh Risdon,32,Right-Back,€350k,Australia
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Starting XI,William Freney,19,Defensive Midfield,,Australia
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Starting XI,Nicholas Pennington,26,Defensive Midfield,€350k,"Australia, Italy"
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Starting XI,Patrick Wood,22,Attacking Midfield,€300k,Australia
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Starting XI,Jaylan Pearman,18,Left Winger,€50k,Australia
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Starting XI,Trent Ostler,22,Right Winger,€200k,Australia
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Starting XI,Adam Taggart,31,Centre-Forward,€650k,Australia
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Substitutes,Yuto Misao,33,Left-Back,€125k,Japan
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Substitutes,Kaelan Majekodunmi,20,Centre-Back,€100k,"Australia, England"
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Substitutes,Taras Gomulka,23,Attacking Midfield,€350k,"Australia, Ukraine"
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Substitutes,Nikola Mileusnic,31,Centre-Forward,€300k,"Australia, Serbia"
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Substitutes,Lachlan Wales,27,Left Winger,€450k,Australia
"Sat, 2/1/25",Perth Glory,Melbourne Victory,Substitutes,Joel Anasmo,20,Right Winger,€75k,"Australia, Southern Sudan"
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Starting XI,Mitchell Langerak,36,Goalkeeper,€275k,Australia
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Starting XI,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Starting XI,Roderick Miranda,33,Centre-Back,€700k,"Portugal, Brazil"
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Starting XI,Kasey Bos,20,Left-Back,€400k,"Australia, Netherlands"
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Starting XI,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Starting XI,Ryan Teague,23,Defensive Midfield,€450k,Australia
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Starting XI,Jordi Valadon,21,Defensive Midfield,€350k,Australia
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Starting XI,Zinédine Machach,29,Attacking Midfield,€650k,"France, Morocco"
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Starting XI,Nishan Velupillay,23,Left Winger,€400k,"Australia, Sri Lanka"
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Starting XI,Clarismario,23,Right Winger,€350k,Brazil
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Starting XI,Nikolaos Vergos,29,Centre-Forward,€450k,Greece
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Substitutes,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Substitutes,Joshua Inserra,20,Centre-Back,€50k,Australia
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Substitutes,Adama Traoré,34,Left-Back,€150k,"Cote d'Ivoire, Australia"
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Substitutes,Fabian Monge,23,Defensive Midfield,€175k,Australia
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Substitutes,Reno Piscopo,26,Attacking Midfield,€500k,"Australia, Italy"
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Substitutes,Daniel Arzani,26,Left Winger,€500k,Australia
"Sat, 2/1/25",Melbourne Victory,Perth Glory,Substitutes,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
