Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 2/1/25",Sydney FC,Adelaide United,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€200k,Australia
"Sat, 2/1/25",Sydney FC,Adelaide United,Starting XI,Kyle Shaw,20,Centre-Back,,"Australia, Ireland"
"Sat, 2/1/25",Sydney FC,Adelaide United,Starting XI,Rhyan Grant,33,Centre-Back,€450k,Australia
"Sat, 2/1/25",Sydney FC,Adelaide United,Starting XI,Jordan Courtney-Perkins,22,Left-Back,€450k,Australia
"Sat, 2/1/25",Sydney FC,Adelaide United,Starting XI,Zach De Jesus,18,Right-Back,€50k,Australia
"Sat, 2/1/25",Sydney FC,Adelaide United,Starting XI,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Sat, 2/1/25",Sydney FC,Adelaide United,Starting XI,Léo Sena,29,Defensive Midfield,€550k,Brazil
"Sat, 2/1/25",Sydney FC,Adelaide United,Starting XI,Anas Ouahim,27,Attacking Midfield,€600k,"Morocco, Germany"
"Sat, 2/1/25",Sydney FC,Adelaide United,Starting XI,Anthony Cáceres,32,Left Winger,€600k,"Australia, Uruguay"
"Sat, 2/1/25",Sydney FC,Adelaide United,Starting XI,Joe Lolley,32,Right Winger,€1.30m,England
"Sat, 2/1/25",Sydney FC,Adelaide United,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Sat, 2/1/25",Sydney FC,Adelaide United,Substitutes,Andrew Redmayne,36,Goalkeeper,€300k,Australia
"Sat, 2/1/25",Sydney FC,Adelaide United,Substitutes,Will Kennedy,19,Left-Back,€50k,"Australia, England"
"Sat, 2/1/25",Sydney FC,Adelaide United,Substitutes,Wataru Kamijo,18,Central Midfield,€100k,"Australia, Japan"
"Sat, 2/1/25",Sydney FC,Adelaide United,Substitutes,Tiago Quintal,18,Attacking Midfield,€100k,"Australia, Portugal"
"Sat, 2/1/25",Sydney FC,Adelaide United,Substitutes,Jaiden Kucharski,22,Centre-Forward,€400k,"Australia, Poland"
"Sat, 2/1/25",Sydney FC,Adelaide United,Substitutes,Adrian Segecic,20,Left Winger,€400k,"Australia, Croatia"
"Sat, 2/1/25",Sydney FC,Adelaide United,Substitutes,Douglas Costa,34,Right Winger,€700k,Brazil
"Sat, 2/1/25",Adelaide United,Sydney FC,Starting XI,Ethan Cox,21,Goalkeeper,€50k,Australia
"Sat, 2/1/25",Adelaide United,Sydney FC,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Sat, 2/1/25",Adelaide United,Sydney FC,Starting XI,Panagiotis Kikianis,19,Centre-Back,€300k,Australia
"Sat, 2/1/25",Adelaide United,Sydney FC,Starting XI,Fabian Talladira,18,Left-Back,€25k,Australia
"Sat, 2/1/25",Adelaide United,Sydney FC,Starting XI,Dylan Pierias,24,Right-Back,€450k,"Australia, Italy"
"Sat, 2/1/25",Adelaide United,Sydney FC,Starting XI,Jay Barnett,23,Defensive Midfield,€250k,Australia
"Sat, 2/1/25",Adelaide United,Sydney FC,Starting XI,Ethan Alagich,21,Defensive Midfield,€350k,Australia
"Sat, 2/1/25",Adelaide United,Sydney FC,Starting XI,Stefan Mauk,29,Attacking Midfield,€650k,"Australia, Germany"
"Sat, 2/1/25",Adelaide United,Sydney FC,Starting XI,Jonny Yull,19,Left Winger,€225k,"Australia, England"
"Sat, 2/1/25",Adelaide United,Sydney FC,Starting XI,Zach Clough,29,Right Winger,€650k,England
"Sat, 2/1/25",Adelaide United,Sydney FC,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Sat, 2/1/25",Adelaide United,Sydney FC,Substitutes,Oscar Page,18,Goalkeeper,,Australia
"Sat, 2/1/25",Adelaide United,Sydney FC,Substitutes,Joshua Cavallo,25,Left-Back,€150k,"Australia, Italy"
"Sat, 2/1/25",Adelaide United,Sydney FC,Substitutes,Isaías Sánchez,37,Defensive Midfield,€150k,"Spain, Australia"
"Sat, 2/1/25",Adelaide United,Sydney FC,Substitutes,Ryan White,20,Right Winger,€125k,Australia
"Sat, 2/1/25",Adelaide United,Sydney FC,Substitutes,Austin Ayoubi,23,Attacking Midfield,€200k,Australia
"Sat, 2/1/25",Adelaide United,Sydney FC,Substitutes,Yaya Dukuly,22,Left Winger,€125k,"Australia, Guinea"
"Sat, 2/1/25",Adelaide United,Sydney FC,Substitutes,Luka Jovanovic,19,Centre-Forward,€300k,"Australia, Serbia"
