Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Starting XI,Ethan Cox,21,Goalkeeper,€50k,Australia
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Starting XI,Isaías Sánchez,37,Centre-Back,€150k,"Spain, Australia"
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Starting XI,Dylan Pierias,24,Right-Back,€450k,"Australia, Italy"
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Starting XI,Jay Barnett,23,Defensive Midfield,€250k,Australia
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Starting XI,Ethan Alagich,21,Defensive Midfield,€350k,Australia
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Starting XI,Stefan Mauk,29,Attacking Midfield,€650k,"Australia, Germany"
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Starting XI,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Starting XI,Zach Clough,29,Right Winger,€650k,England
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Substitutes,Oscar Page,18,Goalkeeper,,Australia
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Substitutes,Joshua Cavallo,25,Left-Back,€150k,"Australia, Italy"
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Substitutes,Harry Crawford,18,Right-Back,,Australia
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Substitutes,Ryan White,20,Attacking Midfield,€125k,Australia
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Substitutes,Austin Ayoubi,23,Left Winger,€200k,Australia
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Substitutes,Amlani Tatu,16,Left Winger,,Australia
"Fri, 2/7/25",Adelaide United,Melbourne City FC,Substitutes,Yaya Dukuly,22,Right Winger,€125k,"Australia, Guinea"
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Starting XI,Patrick Beach,21,Goalkeeper,€300k,Australia
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Starting XI,Germán Ferreyra,29,Centre-Back,€300k,Argentina
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Starting XI,Aziz Behich,34,Left-Back,€350k,"Australia, Türkiye"
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Starting XI,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Starting XI,Steven Ugarkovic,30,Central Midfield,€500k,"Australia, Croatia"
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Starting XI,Mathew Leckie,34,Central Midfield,€450k,Australia
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Starting XI,Harry Politidis,22,Left Winger,€250k,Australia
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Starting XI,Benjamin Mazzeo,19,Right Winger,€150k,Australia
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Starting XI,Lawrence Wong,17,Second Striker,€50k,Australia
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Starting XI,Max Caputo,19,Centre-Forward,€225k,Australia
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Substitutes,James Nieuwenhuizen,21,Goalkeeper,€25k,Australia
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Substitutes,Nathaniel Atkinson,25,Right-Back,€700k,Australia
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Substitutes,Zane Schreiber,19,Central Midfield,€200k,Australia
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Substitutes,Emin Durakovic,19,Attacking Midfield,€50k,Australia
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Substitutes,Mikey Ghossaini,17,Centre-Forward,€50k,"Australia, Lebanon"
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Substitutes,Kavian Rahmani,18,Left Winger,€75k,Australia
"Fri, 2/7/25",Melbourne City FC,Adelaide United,Substitutes,Marco Tilio,23,Left Winger,€800k,Australia
