Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Starting XI,Oliver Sail,29,Goalkeeper,€350k,"New Zealand, Australia"
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Starting XI,Tass Mourdoukoutas,25,Centre-Back,€200k,"Australia, Greece"
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Starting XI,Anas Hamzaoui,28,Left-Back,€150k,"Belgium, Morocco"
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Starting XI,Trent Ostler,22,Right-Back,€200k,Australia
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Starting XI,Nicholas Pennington,26,Defensive Midfield,€350k,"Australia, Italy"
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Starting XI,Taras Gomulka,23,Attacking Midfield,€350k,"Australia, Ukraine"
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Starting XI,William Freney,19,Left Winger,,Australia
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Starting XI,Lachlan Wales,27,Right Winger,€450k,Australia
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Starting XI,Adam Taggart,31,Centre-Forward,€650k,Australia
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Starting XI,Patrick Wood,22,Centre-Forward,€300k,Australia
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Substitutes,Yuto Misao,33,Left-Back,€125k,Japan
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Substitutes,Kaelan Majekodunmi,20,Centre-Back,€100k,"Australia, England"
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Substitutes,Brandon O'Neill,30,Defensive Midfield,€300k,Australia
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Substitutes,Nikola Mileusnic,31,Left Winger,€300k,"Australia, Serbia"
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Substitutes,Joel Anasmo,20,Right Winger,€75k,"Australia, Southern Sudan"
"Fri, 2/7/25",Perth Glory,Central Coast Mariners,Substitutes,Nathanael Blair,20,Centre-Forward,€125k,Australia
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Starting XI,Trent Sainsbury,33,Centre-Back,€500k,"Australia, England"
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Starting XI,Nathan Paull,21,Left-Back,€325k,Australia
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Starting XI,Storm Roux,32,Right-Back,€325k,"New Zealand, Australia"
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Starting XI,Harrison Steele,22,Central Midfield,€300k,Australia
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Starting XI,Haine Eames,16,Central Midfield,€125k,Australia
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Starting XI,Abdul Faisal,19,Left Winger,€150k,Australia
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Starting XI,Christian Theoharous,25,Right Winger,€300k,"Australia, Cyprus"
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Starting XI,Mikael Doka,25,Second Striker,€450k,Brazil
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Starting XI,Ryan Edmondson,23,Centre-Forward,€300k,England
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Substitutes,Lucas Mauragis,23,Left Winger,€400k,"Australia, Lithuania"
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Substitutes,Sasha Kuzevski,23,Right-Back,€125k,Australia
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Substitutes,Lucas Scicluna,19,Defensive Midfield,,"Malta, Australia"
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Substitutes,Miguel Di Pizio,19,Right Winger,€250k,Australia
"Fri, 2/7/25",Central Coast Mariners,Perth Glory,Substitutes,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
