Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Starting XI,Noah James,23,Goalkeeper,,Australia
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Starting XI,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Starting XI,Lachlan Bayliss,22,Central Midfield,€250k,"New Zealand, Australia"
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Starting XI,Thomas Aquilina,24,Right Midfield,€375k,"Australia, Malta"
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Starting XI,Daniel Wilmering,24,Left Midfield,€300k,"Australia, Germany"
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Starting XI,Clayton Taylor,20,Attacking Midfield,€350k,Australia
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Starting XI,Eli Adams,22,Attacking Midfield,€250k,Australia
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Starting XI,Ben Gibson,22,Centre-Forward,€175k,Australia
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Substitutes,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Substitutes,Matthew Scarcella,20,Central Midfield,€100k,"Australia, Italy"
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Substitutes,Charles M'Mombwa,26,Central Midfield,€200k,"Tanzania, Australia"
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Substitutes,Will Dobson,17,Central Midfield,€75k,Australia
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Substitutes,Wellissol,26,Left Winger,€100k,Brazil
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Substitutes,Kota Mizunuma,34,Right Winger,€350k,Japan
"Sat, 2/8/25",Newcastle United Jets,Melbourne Victory,Substitutes,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Starting XI,Mitchell Langerak,36,Goalkeeper,€275k,Australia
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Starting XI,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Starting XI,Roderick Miranda,33,Centre-Back,€700k,"Portugal, Brazil"
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Starting XI,Adama Traoré,35,Left-Back,€150k,"Cote d'Ivoire, Australia"
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Starting XI,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Starting XI,Ryan Teague,23,Defensive Midfield,€450k,Australia
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Starting XI,Jordi Valadon,21,Defensive Midfield,€350k,Australia
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Starting XI,Zinédine Machach,29,Attacking Midfield,€650k,"France, Morocco"
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Starting XI,Nishan Velupillay,23,Left Winger,€400k,"Australia, Sri Lanka"
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Starting XI,Clarismario,23,Right Winger,€350k,Brazil
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Starting XI,Nikolaos Vergos,29,Centre-Forward,€450k,Greece
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Substitutes,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Substitutes,Kayne Razmovski,20,Right-Back,,Australia
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Substitutes,Fabian Monge,23,Defensive Midfield,€175k,Australia
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Substitutes,Reno Piscopo,26,Attacking Midfield,€500k,"Australia, Italy"
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Substitutes,Daniel Arzani,26,Left Winger,€500k,Australia
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Substitutes,Jing Reec,21,Centre-Forward,€150k,"Australia, Southern Sudan"
"Sat, 2/8/25",Melbourne Victory,Newcastle United Jets,Substitutes,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
