Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 2/9/25",Macarthur FC,Western United FC,Starting XI,Filip Kurto,33,Goalkeeper,€400k,Poland
"Sun, 2/9/25",Macarthur FC,Western United FC,Starting XI,Matthew Jurman,35,Centre-Back,€200k,"Australia, England"
"Sun, 2/9/25",Macarthur FC,Western United FC,Starting XI,Tomislav Uskok,33,Centre-Back,€250k,"Australia, Croatia"
"Sun, 2/9/25",Macarthur FC,Western United FC,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Sun, 2/9/25",Macarthur FC,Western United FC,Starting XI,Kealey Adamson,21,Right-Back,€350k,"Australia, Tanzania"
"Sun, 2/9/25",Macarthur FC,Western United FC,Starting XI,Luke Brattan,34,Central Midfield,€400k,"Australia, England"
"Sun, 2/9/25",Macarthur FC,Western United FC,Starting XI,Jake Hollman,23,Central Midfield,€400k,Australia
"Sun, 2/9/25",Macarthur FC,Western United FC,Starting XI,Marin Jakolis,28,Left Winger,€850k,"Croatia, Australia"
"Sun, 2/9/25",Macarthur FC,Western United FC,Starting XI,Chris Ikonomidis,29,Right Winger,€300k,"Australia, Greece"
"Sun, 2/9/25",Macarthur FC,Western United FC,Starting XI,Harry Sawyer,28,Centre-Forward,€100k,Australia
"Sun, 2/9/25",Macarthur FC,Western United FC,Starting XI,Valère Germain,34,Centre-Forward,€800k,France
"Sun, 2/9/25",Macarthur FC,Western United FC,Substitutes,Franklin Jan,18,Goalkeeper,,Australia
"Sun, 2/9/25",Macarthur FC,Western United FC,Substitutes,Joshua Damevski,19,Centre-Back,€50k,Australia
"Sun, 2/9/25",Macarthur FC,Western United FC,Substitutes,Walter Scott,25,Right Winger,€200k,Australia
"Sun, 2/9/25",Macarthur FC,Western United FC,Substitutes,Peter Makrillos,29,Central Midfield,€275k,"Australia, Greece"
"Sun, 2/9/25",Macarthur FC,Western United FC,Substitutes,Ante Vojvodic,19,Right Midfield,,Australia
"Sun, 2/9/25",Macarthur FC,Western United FC,Substitutes,Daniel De Silva,27,Attacking Midfield,€325k,Australia
"Sun, 2/9/25",Macarthur FC,Western United FC,Substitutes,Henrique Oliveira,16,Right Winger,,"Australia, Brazil"
"Sun, 2/9/25",Western United FC,Macarthur FC,Starting XI,Matt Sutton,24,Goalkeeper,€300k,Australia
"Sun, 2/9/25",Western United FC,Macarthur FC,Starting XI,Tomoki Imai,34,Centre-Back,€250k,Japan
"Sun, 2/9/25",Western United FC,Macarthur FC,Starting XI,Dylan Leonard,17,Centre-Back,€250k,"Australia, Scotland"
"Sun, 2/9/25",Western United FC,Macarthur FC,Starting XI,Ben Garuccio,29,Left-Back,€400k,"Australia, Italy"
"Sun, 2/9/25",Western United FC,Macarthur FC,Starting XI,Tate Russell,25,Right-Back,€350k,Australia
"Sun, 2/9/25",Western United FC,Macarthur FC,Starting XI,Rhys Bozinovski,20,Central Midfield,€275k,"Australia, Malta"
"Sun, 2/9/25",Western United FC,Macarthur FC,Starting XI,Angus Thurgate,25,Central Midfield,€550k,Australia
"Sun, 2/9/25",Western United FC,Macarthur FC,Starting XI,Abel Walatee,20,Left Winger,€200k,"Australia, Ghana"
"Sun, 2/9/25",Western United FC,Macarthur FC,Starting XI,Riku Danzaki,24,Right Winger,€325k,Japan
"Sun, 2/9/25",Western United FC,Macarthur FC,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€225k,Japan
"Sun, 2/9/25",Western United FC,Macarthur FC,Starting XI,Noah Botic,23,Centre-Forward,€400k,"Australia, Croatia"
"Sun, 2/9/25",Western United FC,Macarthur FC,Substitutes,Michael Vonja,19,Goalkeeper,€25k,Australia
"Sun, 2/9/25",Western United FC,Macarthur FC,Substitutes,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Sun, 2/9/25",Western United FC,Macarthur FC,Substitutes,Jordan Lauton,21,Central Midfield,€100k,Australia
"Sun, 2/9/25",Western United FC,Macarthur FC,Substitutes,Ramy Najjarine,24,Right Winger,€300k,"Australia, Lebanon"
"Sun, 2/9/25",Western United FC,Macarthur FC,Substitutes,Matthew Grimaldi,21,Left Winger,€250k,Australia
"Sun, 2/9/25",Western United FC,Macarthur FC,Substitutes,Michael Ruhs,22,Centre-Forward,€150k,Australia
"Sun, 2/9/25",Western United FC,Macarthur FC,Substitutes,Luke Vickery,19,Centre-Forward,€25k,Australia
