Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Starting XI,Mitchell Langerak,36,Goalkeeper,€275k,Australia
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Starting XI,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Starting XI,Roderick Miranda,33,Centre-Back,€700k,"Portugal, Brazil"
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Starting XI,Adama Traoré,35,Left-Back,€150k,"Cote d'Ivoire, Australia"
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Starting XI,Joshua Rawlins,20,Right-Back,€250k,Australia
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Starting XI,Ryan Teague,23,Defensive Midfield,€450k,Australia
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Starting XI,Jordi Valadon,21,Defensive Midfield,€350k,Australia
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Starting XI,Nishan Velupillay,23,Right Midfield,€400k,"Australia, Sri Lanka"
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Starting XI,Reno Piscopo,26,Left Midfield,€500k,"Australia, Italy"
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Starting XI,Zinédine Machach,29,Attacking Midfield,€650k,"France, Morocco"
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Starting XI,Nikolaos Vergos,29,Centre-Forward,€450k,Greece
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Substitutes,Jack Duncan,31,Goalkeeper,€250k,Australia
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Substitutes,Lachlan Jackson,29,Centre-Back,€500k,Australia
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Substitutes,Kasey Bos,20,Left-Back,€400k,"Australia, Netherlands"
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Substitutes,Fabian Monge,23,Defensive Midfield,€175k,Australia
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Substitutes,Clarismario,23,Right Winger,€350k,Brazil
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Substitutes,Daniel Arzani,26,Left Winger,€500k,Australia
"Fri, 2/14/25",Melbourne Victory,Wellington Phoenix,Substitutes,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Starting XI,Alby Kelly-Heald,19,Goalkeeper,€100k,New Zealand
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Starting XI,Scott Wootton,33,Centre-Back,€275k,England
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Starting XI,Isaac Hughes,20,Centre-Back,€300k,"New Zealand, England"
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Starting XI,Tim Payne,31,Right-Back,€450k,New Zealand
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Starting XI,Paulo Retre,31,Central Midfield,€350k,"Australia, Portugal"
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Starting XI,Matthew Sheridan,20,Central Midfield,€250k,New Zealand
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Starting XI,Corban Piper,22,Right Midfield,€250k,New Zealand
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Starting XI,Lukas Kelly-Heald,19,Left Midfield,€250k,New Zealand
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Starting XI,Hideki Ishige,30,Centre-Forward,€400k,Japan
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Starting XI,Kosta Barbarouses,34,Centre-Forward,€375k,"New Zealand, Greece"
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Substitutes,Joshua Oluwayemi,23,Goalkeeper,€300k,"Nigeria, England"
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Substitutes,Jayden Smith,17,Centre-Back,€100k,"New Zealand, England"
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Substitutes,Alex Rufer,28,Central Midfield,€600k,"New Zealand, Switzerland"
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Substitutes,Fin Roa Conchie,21,Central Midfield,€200k,New Zealand
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Substitutes,Kazuki Nagasawa,33,Second Striker,€225k,Japan
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Substitutes,Luke Brooke-Smith,16,Right Winger,€75k,New Zealand
"Fri, 2/14/25",Wellington Phoenix,Melbourne Victory,Substitutes,Nathan Walker,19,Left Winger,€175k,New Zealand
