Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Starting XI,Ethan Cox,21,Goalkeeper,€50k,Australia
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Starting XI,Isaías Sánchez,38,Centre-Back,€150k,"Spain, Australia"
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Starting XI,Ethan Alagich,21,Left-Back,€350k,Australia
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Starting XI,Dylan Pierias,24,Right-Back,€450k,"Australia, Italy"
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Starting XI,Jay Barnett,24,Defensive Midfield,€250k,Australia
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Starting XI,Ryan White,20,Defensive Midfield,€125k,Australia
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Starting XI,Stefan Mauk,29,Attacking Midfield,€650k,"Australia, Germany"
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Starting XI,Yaya Dukuly,22,Left Winger,€125k,"Australia, Guinea"
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Starting XI,Zach Clough,29,Right Winger,€650k,England
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Substitutes,James Delianov,25,Goalkeeper,€300k,Australia
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Substitutes,Jordan Elsey,30,Centre-Back,€300k,"Australia, England"
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Substitutes,Joshua Cavallo,25,Left-Back,€150k,"Australia, Italy"
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Substitutes,Harry Crawford,18,Right-Back,,Australia
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Substitutes,Ben Folami,25,Centre-Forward,€400k,"Australia, Nigeria"
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Substitutes,Austin Ayoubi,23,Left Winger,€200k,Australia
"Sat, 2/15/25",Adelaide United,Newcastle United Jets,Substitutes,Amlani Tatu,16,Right Winger,,Australia
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Starting XI,Noah James,24,Goalkeeper,,Australia
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Starting XI,Thomas Aquilina,24,Centre-Back,€375k,"Australia, Malta"
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Starting XI,Lachlan Bayliss,22,Central Midfield,€250k,"New Zealand, Australia"
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Starting XI,Kota Mizunuma,34,Right Midfield,€350k,Japan
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Starting XI,Daniel Wilmering,24,Left Midfield,€300k,"Australia, Germany"
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Starting XI,Clayton Taylor,20,Attacking Midfield,€350k,Australia
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Starting XI,Eli Adams,22,Attacking Midfield,€250k,Australia
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Starting XI,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Substitutes,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Substitutes,Ben Van Dorssen,19,Centre-Back,,Australia
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Substitutes,Matthew Scarcella,20,Central Midfield,€100k,"Australia, Italy"
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Substitutes,Charles M'Mombwa,26,Central Midfield,€200k,"Tanzania, Australia"
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Substitutes,Will Dobson,17,Central Midfield,€75k,Australia
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Substitutes,Wellissol,26,Left Winger,€100k,Brazil
"Sat, 2/15/25",Newcastle United Jets,Adelaide United,Substitutes,Ben Gibson,22,Centre-Forward,€175k,Australia
