Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Starting XI,Patrick Beach,21,Goalkeeper,€300k,Australia
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Starting XI,Germán Ferreyra,29,Centre-Back,€300k,Argentina
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Starting XI,Aziz Behich,34,Centre-Back,€350k,"Australia, Türkiye"
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Starting XI,Callum Talbot,23,Left-Back,€350k,"Australia, Malta"
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Starting XI,Nathaniel Atkinson,25,Right-Back,€700k,Australia
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Starting XI,Steven Ugarkovic,30,Central Midfield,€500k,"Australia, Croatia"
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Starting XI,Mathew Leckie,34,Central Midfield,€450k,Australia
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Starting XI,Kavian Rahmani,18,Left Winger,€75k,Australia
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Starting XI,Marco Tilio,23,Right Winger,€800k,Australia
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Starting XI,Lawrence Wong,17,Second Striker,€50k,Australia
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Starting XI,Max Caputo,19,Centre-Forward,€225k,Australia
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Substitutes,James Nieuwenhuizen,21,Goalkeeper,€25k,Australia
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Substitutes,Harry Politidis,22,Left Winger,€250k,Australia
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Substitutes,Harrison Shillington,19,Right-Back,,Australia
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Substitutes,Zane Schreiber,19,Central Midfield,€200k,Australia
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Substitutes,Benjamin Dunbar,19,Central Midfield,€50k,Australia
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Substitutes,Emin Durakovic,19,Second Striker,€50k,Australia
"Sat, 2/15/25",Melbourne City FC,Perth Glory,Substitutes,Mikey Ghossaini,17,Right Winger,€50k,"Australia, Lebanon"
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Starting XI,Oliver Sail,29,Goalkeeper,€350k,"New Zealand, Australia"
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Starting XI,Tass Mourdoukoutas,25,Centre-Back,€200k,"Australia, Greece"
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Starting XI,Anas Hamzaoui,28,Left-Back,€150k,"Belgium, Morocco"
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Starting XI,Trent Ostler,22,Right-Back,€200k,Australia
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Starting XI,Taras Gomulka,23,Central Midfield,€350k,"Australia, Ukraine"
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Starting XI,William Freney,19,Central Midfield,,Australia
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Starting XI,Lachlan Wales,27,Left Winger,€450k,Australia
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Starting XI,Nikola Mileusnic,31,Right Winger,€300k,"Australia, Serbia"
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Starting XI,Adam Taggart,31,Centre-Forward,€650k,Australia
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Starting XI,Patrick Wood,22,Centre-Forward,€300k,Australia
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Substitutes,Yuto Misao,33,Left-Back,€125k,Japan
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Substitutes,Kaelan Majekodunmi,20,Centre-Back,€100k,"Australia, England"
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Substitutes,Takuya Okamoto,32,Right-Back,€225k,Japan
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Substitutes,Brandon O'Neill,30,Central Midfield,€300k,Australia
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Substitutes,Joel Anasmo,20,Right Winger,€75k,"Australia, Southern Sudan"
"Sat, 2/15/25",Perth Glory,Melbourne City FC,Substitutes,Nathanael Blair,20,Centre-Forward,€125k,Australia
