Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Anthony Pantazopoulos,21,Centre-Back,€150k,Australia
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Jack Clisby,33,Left-Back,€350k,Australia
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Gabriel Cléùr,27,Right-Back,€400k,"Australia, Italy"
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Joshua Brillante,31,Central Midfield,€450k,"Australia, Italy"
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Oscar Priestman,21,Central Midfield,€275k,Australia
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Nicolas Milanovic,23,Right Winger,€700k,"Australia, Croatia"
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Brandon Borrello,29,Centre-Forward,€750k,"Australia, Italy"
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Alex Gersbach,27,Left-Back,€200k,"Australia, Greece"
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Mohamed Al-Taay,24,Central Midfield,€275k,"Iraq, Australia"
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Alaat Abdul-Rahman,17,Centre-Forward,,Australia
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Jarrod Carluccio,24,Right Winger,€300k,Australia
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Aydan Hammond,21,Left Winger,€150k,"Australia, Peru"
"Sun, 2/16/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Filip Kurto,33,Goalkeeper,€400k,Poland
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Matthew Jurman,35,Centre-Back,€200k,"Australia, England"
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Tomislav Uskok,33,Centre-Back,€250k,"Australia, Croatia"
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Kevin Boli,33,Centre-Back,€350k,"Cote d'Ivoire, France"
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Luke Brattan,34,Central Midfield,€400k,"Australia, England"
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Jake Hollman,23,Central Midfield,€400k,Australia
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Kealey Adamson,21,Right Midfield,€350k,"Australia, Tanzania"
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Walter Scott,25,Left Midfield,€200k,Australia
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Daniel De Silva,27,Attacking Midfield,€325k,Australia
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Marin Jakolis,28,Centre-Forward,€850k,"Croatia, Australia"
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Harry Sawyer,28,Centre-Forward,€100k,Australia
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Franklin Jan,18,Goalkeeper,,Australia
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Joshua Damevski,19,Centre-Back,€50k,Australia
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Ivan Vujica,27,Left Midfield,€350k,"Australia, Croatia"
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Liam Rose,27,Defensive Midfield,€250k,Australia
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Peter Makrillos,29,Central Midfield,€275k,"Australia, Greece"
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Saîf-Eddine Khaoui,29,Attacking Midfield,€1.20m,"Tunisia, France"
"Sun, 2/16/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Chris Ikonomidis,29,Right Winger,€300k,"Australia, Greece"
