Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Starting XI,Noah James,24,Goalkeeper,,Australia
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Starting XI,Thomas Aquilina,24,Centre-Back,€375k,"Australia, Malta"
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Starting XI,Lachlan Bayliss,22,Central Midfield,€250k,"New Zealand, Australia"
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Starting XI,Kota Mizunuma,34,Right Midfield,€350k,Japan
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Starting XI,Daniel Wilmering,24,Left Midfield,€300k,"Australia, Germany"
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Starting XI,Clayton Taylor,20,Attacking Midfield,€350k,Australia
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Starting XI,Eli Adams,22,Attacking Midfield,€250k,Australia
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Starting XI,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Substitutes,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Substitutes,Garang Arou,20,Centre-Back,,Australia
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Substitutes,Matthew Scarcella,20,Attacking Midfield,€100k,"Australia, Italy"
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Substitutes,Charles M'Mombwa,26,Central Midfield,€200k,"Tanzania, Australia"
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Substitutes,Will Dobson,17,Central Midfield,€75k,Australia
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Substitutes,Wellissol,27,Left Winger,€100k,Brazil
"Fri, 2/21/25",Newcastle United Jets,Brisbane Roar,Substitutes,Ben Gibson,22,Centre-Forward,€175k,Australia
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Starting XI,Macklin Freke,26,Goalkeeper,€300k,"Australia, New Zealand"
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Starting XI,Hosine Bility,23,Centre-Back,€100k,"Australia, Guinea"
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Starting XI,Walid Shour,28,Centre-Back,€300k,"Lebanon, Sierra Leone"
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Starting XI,Louis Zabala,24,Left-Back,€200k,Australia
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Starting XI,Antonee Burke-Gilroy,27,Right-Back,€300k,"Australia, England"
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Starting XI,Sam Klein,20,Defensive Midfield,€50k,Australia
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Starting XI,Jay O'Shea,36,Defensive Midfield,€275k,Ireland
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Starting XI,Keegan Jelacic,22,Left Winger,€300k,"Australia, New Zealand"
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Starting XI,Ben Halloran,32,Right Winger,€350k,Australia
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Starting XI,Florin Bérenguer,35,Second Striker,€250k,France
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Starting XI,Henry Hore,25,Centre-Forward,€300k,Australia
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Substitutes,Matt Acton,32,Goalkeeper,€150k,"Australia, Finland"
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Substitutes,Austin Ludwik,28,Centre-Back,,Australia
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Substitutes,Jack Hingert,34,Right-Back,€150k,"Sri Lanka, Australia"
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Substitutes,Adam Zimarino,23,Right Winger,€100k,Australia
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Substitutes,Nathan Amanatidis,19,Centre-Forward,€125k,Australia
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Substitutes,Jacob Brazete,19,Left Winger,€125k,"Australia, Portugal"
"Fri, 2/21/25",Brisbane Roar,Newcastle United Jets,Substitutes,Asumah Abubakar,27,Centre-Forward,€100k,"Portugal, Ghana"
