Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Nathan Paull,21,Centre-Back,€325k,Australia
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Trent Sainsbury,33,Centre-Back,€500k,"Australia, England"
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Harrison Steele,22,Central Midfield,€300k,Australia
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Haine Eames,16,Central Midfield,€125k,Australia
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Storm Roux,32,Right Midfield,€325k,"New Zealand, Australia"
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Lucas Mauragis,23,Left Midfield,€400k,"Australia, Lithuania"
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Miguel Di Pizio,19,Left Winger,€250k,Australia
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Mikael Doka,25,Right Winger,€450k,Brazil
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Sasha Kuzevski,23,Right-Back,€125k,Australia
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Alfie McCalmont,24,Central Midfield,€300k,"Northern Ireland, England"
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Christian Theoharous,25,Left Winger,€300k,"Australia, Cyprus"
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Abdul Faisal,19,Second Striker,€150k,Australia
"Sat, 2/22/25",Central Coast Mariners,Western Sydney Wanderers,Substitutes,Arthur De Lima,17,Centre-Forward,€50k,"Australia, Brazil"
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Anthony Pantazopoulos,21,Centre-Back,€150k,Australia
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Jack Clisby,33,Left-Back,€350k,Australia
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Gabriel Cléùr,27,Right-Back,€400k,"Australia, Italy"
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Dean Pelekanos,24,Central Midfield,€175k,Australia
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Oscar Priestman,21,Central Midfield,€275k,Australia
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Nicolas Milanovic,23,Right Winger,€700k,"Australia, Croatia"
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Starting XI,Brandon Borrello,29,Centre-Forward,€750k,"Australia, Italy"
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,Alex Gersbach,27,Left-Back,€200k,"Australia, Greece"
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,Mohamed Al-Taay,24,Central Midfield,€275k,"Iraq, Australia"
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,Juan Mata,36,Right Winger,€500k,Spain
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,Jarrod Carluccio,24,Right Winger,€300k,Australia
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,Aydan Hammond,21,Centre-Forward,€150k,"Australia, Peru"
"Sat, 2/22/25",Western Sydney Wanderers,Central Coast Mariners,Substitutes,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
