Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 2/22/25",Perth Glory,Sydney FC,Starting XI,Oliver Sail,29,Goalkeeper,€350k,"New Zealand, Australia"
"Sat, 2/22/25",Perth Glory,Sydney FC,Starting XI,Tass Mourdoukoutas,25,Centre-Back,€200k,"Australia, Greece"
"Sat, 2/22/25",Perth Glory,Sydney FC,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Sat, 2/22/25",Perth Glory,Sydney FC,Starting XI,Yuto Misao,33,Left-Back,€125k,Japan
"Sat, 2/22/25",Perth Glory,Sydney FC,Starting XI,Takuya Okamoto,32,Right-Back,€225k,Japan
"Sat, 2/22/25",Perth Glory,Sydney FC,Starting XI,Nicholas Pennington,26,Defensive Midfield,€350k,"Australia, Italy"
"Sat, 2/22/25",Perth Glory,Sydney FC,Starting XI,Luke Amos,27,Attacking Midfield,€250k,"England, Nigeria"
"Sat, 2/22/25",Perth Glory,Sydney FC,Starting XI,Lachlan Wales,27,Left Winger,€450k,Australia
"Sat, 2/22/25",Perth Glory,Sydney FC,Starting XI,Trent Ostler,22,Right Winger,€200k,Australia
"Sat, 2/22/25",Perth Glory,Sydney FC,Starting XI,Nikola Mileusnic,31,Centre-Forward,€300k,"Australia, Serbia"
"Sat, 2/22/25",Perth Glory,Sydney FC,Starting XI,Adam Taggart,31,Centre-Forward,€650k,Australia
"Sat, 2/22/25",Perth Glory,Sydney FC,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sat, 2/22/25",Perth Glory,Sydney FC,Substitutes,Anas Hamzaoui,28,Left-Back,€150k,"Belgium, Morocco"
"Sat, 2/22/25",Perth Glory,Sydney FC,Substitutes,Josh Risdon,32,Right-Back,€350k,Australia
"Sat, 2/22/25",Perth Glory,Sydney FC,Substitutes,Taras Gomulka,23,Defensive Midfield,€350k,"Australia, Ukraine"
"Sat, 2/22/25",Perth Glory,Sydney FC,Substitutes,Hiroaki Aoyama,28,Attacking Midfield,€100k,Japan
"Sat, 2/22/25",Perth Glory,Sydney FC,Substitutes,Joel Anasmo,20,Right Winger,€75k,"Australia, Southern Sudan"
"Sat, 2/22/25",Perth Glory,Sydney FC,Substitutes,Nathanael Blair,20,Centre-Forward,€125k,Australia
"Sat, 2/22/25",Sydney FC,Perth Glory,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€200k,Australia
"Sat, 2/22/25",Sydney FC,Perth Glory,Starting XI,Joel King,24,Centre-Back,€400k,Australia
"Sat, 2/22/25",Sydney FC,Perth Glory,Starting XI,Rhyan Grant,33,Centre-Back,€450k,Australia
"Sat, 2/22/25",Sydney FC,Perth Glory,Starting XI,Jordan Courtney-Perkins,22,Left-Back,€450k,Australia
"Sat, 2/22/25",Sydney FC,Perth Glory,Starting XI,Zach De Jesus,19,Right-Back,€50k,Australia
"Sat, 2/22/25",Sydney FC,Perth Glory,Starting XI,Léo Sena,29,Defensive Midfield,€550k,Brazil
"Sat, 2/22/25",Sydney FC,Perth Glory,Starting XI,Wataru Kamijo,18,Defensive Midfield,€100k,"Australia, Japan"
"Sat, 2/22/25",Sydney FC,Perth Glory,Starting XI,Anthony Cáceres,32,Attacking Midfield,€600k,"Australia, Uruguay"
"Sat, 2/22/25",Sydney FC,Perth Glory,Starting XI,Adrian Segecic,20,Left Winger,€400k,"Australia, Croatia"
"Sat, 2/22/25",Sydney FC,Perth Glory,Starting XI,Joe Lolley,32,Right Winger,€1.30m,England
"Sat, 2/22/25",Sydney FC,Perth Glory,Starting XI,Jaiden Kucharski,22,Centre-Forward,€400k,"Australia, Poland"
"Sat, 2/22/25",Sydney FC,Perth Glory,Substitutes,Andrew Redmayne,36,Goalkeeper,€300k,Australia
"Sat, 2/22/25",Sydney FC,Perth Glory,Substitutes,Alex Grant,31,Centre-Back,€450k,"Australia, England"
"Sat, 2/22/25",Sydney FC,Perth Glory,Substitutes,Will Kennedy,20,Left-Back,€50k,"Australia, England"
"Sat, 2/22/25",Sydney FC,Perth Glory,Substitutes,Anas Ouahim,27,Attacking Midfield,€600k,"Morocco, Germany"
"Sat, 2/22/25",Sydney FC,Perth Glory,Substitutes,Douglas Costa,34,Left Winger,€700k,Brazil
"Sat, 2/22/25",Sydney FC,Perth Glory,Substitutes,Mathias Macallister,17,Centre-Forward,,"Australia, Norway"
"Sat, 2/22/25",Sydney FC,Perth Glory,Substitutes,Patryk Klimala,26,Centre-Forward,€600k,Poland
