Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 2/23/25",Western United FC,Adelaide United,Starting XI,Matt Sutton,24,Goalkeeper,€300k,Australia
"Sun, 2/23/25",Western United FC,Adelaide United,Starting XI,Tomoki Imai,34,Centre-Back,€250k,Japan
"Sun, 2/23/25",Western United FC,Adelaide United,Starting XI,Dylan Leonard,17,Centre-Back,€250k,"Australia, Scotland"
"Sun, 2/23/25",Western United FC,Adelaide United,Starting XI,Ben Garuccio,29,Left-Back,€400k,"Australia, Italy"
"Sun, 2/23/25",Western United FC,Adelaide United,Starting XI,Tate Russell,25,Right-Back,€350k,Australia
"Sun, 2/23/25",Western United FC,Adelaide United,Starting XI,Rhys Bozinovski,20,Central Midfield,€275k,"Australia, Malta"
"Sun, 2/23/25",Western United FC,Adelaide United,Starting XI,Angus Thurgate,25,Central Midfield,€550k,Australia
"Sun, 2/23/25",Western United FC,Adelaide United,Starting XI,Abel Walatee,21,Left Winger,€200k,"Australia, Ghana"
"Sun, 2/23/25",Western United FC,Adelaide United,Starting XI,Matthew Grimaldi,21,Right Winger,€250k,Australia
"Sun, 2/23/25",Western United FC,Adelaide United,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€225k,Japan
"Sun, 2/23/25",Western United FC,Adelaide United,Starting XI,Noah Botic,23,Centre-Forward,€400k,"Australia, Croatia"
"Sun, 2/23/25",Western United FC,Adelaide United,Substitutes,Michael Vonja,19,Goalkeeper,€25k,Australia
"Sun, 2/23/25",Western United FC,Adelaide United,Substitutes,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Sun, 2/23/25",Western United FC,Adelaide United,Substitutes,Jordan Lauton,21,Central Midfield,€100k,Australia
"Sun, 2/23/25",Western United FC,Adelaide United,Substitutes,Ramy Najjarine,24,Centre-Forward,€300k,"Australia, Lebanon"
"Sun, 2/23/25",Western United FC,Adelaide United,Substitutes,Riku Danzaki,24,Right Winger,€325k,Japan
"Sun, 2/23/25",Western United FC,Adelaide United,Substitutes,Michael Ruhs,22,Centre-Forward,€150k,Australia
"Sun, 2/23/25",Western United FC,Adelaide United,Substitutes,Luke Vickery,19,Left Winger,€25k,Australia
"Sun, 2/23/25",Adelaide United,Western United FC,Starting XI,Ethan Cox,21,Goalkeeper,€50k,Australia
"Sun, 2/23/25",Adelaide United,Western United FC,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Sun, 2/23/25",Adelaide United,Western United FC,Starting XI,Isaías Sánchez,38,Centre-Back,€150k,"Spain, Australia"
"Sun, 2/23/25",Adelaide United,Western United FC,Starting XI,Ethan Alagich,21,Left-Back,€350k,Australia
"Sun, 2/23/25",Adelaide United,Western United FC,Starting XI,Harry Crawford,18,Right-Back,,Australia
"Sun, 2/23/25",Adelaide United,Western United FC,Starting XI,Jay Barnett,24,Defensive Midfield,€250k,Australia
"Sun, 2/23/25",Adelaide United,Western United FC,Starting XI,Ryan White,20,Defensive Midfield,€125k,Australia
"Sun, 2/23/25",Adelaide United,Western United FC,Starting XI,Stefan Mauk,29,Attacking Midfield,€650k,"Australia, Germany"
"Sun, 2/23/25",Adelaide United,Western United FC,Starting XI,Yaya Dukuly,22,Left Winger,€125k,"Australia, Guinea"
"Sun, 2/23/25",Adelaide United,Western United FC,Starting XI,Zach Clough,29,Right Winger,€650k,England
"Sun, 2/23/25",Adelaide United,Western United FC,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Sun, 2/23/25",Adelaide United,Western United FC,Substitutes,James Delianov,25,Goalkeeper,€300k,Australia
"Sun, 2/23/25",Adelaide United,Western United FC,Substitutes,Jordan Elsey,30,Centre-Back,€300k,"Australia, England"
"Sun, 2/23/25",Adelaide United,Western United FC,Substitutes,Joshua Cavallo,25,Left-Back,€150k,"Australia, Italy"
"Sun, 2/23/25",Adelaide United,Western United FC,Substitutes,Luke Duzel,23,Defensive Midfield,€125k,"Australia, Croatia"
"Sun, 2/23/25",Adelaide United,Western United FC,Substitutes,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Sun, 2/23/25",Adelaide United,Western United FC,Substitutes,Austin Ayoubi,23,Centre-Forward,€200k,Australia
"Sun, 2/23/25",Adelaide United,Western United FC,Substitutes,Amlani Tatu,16,Right Winger,,Australia
