Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Starting XI,Nathan Paull,21,Centre-Back,€325k,Australia
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Starting XI,Lucas Mauragis,23,Left-Back,€400k,"Australia, Lithuania"
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Starting XI,Sasha Kuzevski,23,Right-Back,€125k,Australia
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Starting XI,Harrison Steele,22,Central Midfield,€300k,Australia
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Starting XI,Haine Eames,17,Central Midfield,€125k,Australia
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Starting XI,Mikael Doka,25,Left Winger,€450k,Brazil
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Starting XI,Christian Theoharous,25,Right Winger,€300k,"Australia, Cyprus"
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Starting XI,Miguel Di Pizio,19,Second Striker,€250k,Australia
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Substitutes,Storm Roux,32,Right-Back,€325k,"New Zealand, Australia"
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Substitutes,Alfie McCalmont,24,Central Midfield,€300k,"Northern Ireland, England"
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Substitutes,Abdul Faisal,19,Right Winger,€150k,Australia
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Substitutes,Bailey Brandtman,19,Centre-Forward,€175k,Australia
"Fri, 2/28/25",Central Coast Mariners,Western United FC,Substitutes,Nicholas Duarte,21,Centre-Forward,€50k,Australia
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Starting XI,Matt Sutton,24,Goalkeeper,€300k,Australia
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Starting XI,Tomoki Imai,34,Centre-Back,€250k,Japan
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Starting XI,Dylan Leonard,17,Centre-Back,€250k,"Australia, Scotland"
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Starting XI,Charbel Shamoon,21,Left-Back,€200k,"Iraq, Australia"
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Starting XI,Tate Russell,25,Right-Back,€350k,Australia
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Starting XI,Rhys Bozinovski,20,Central Midfield,€275k,"Australia, Malta"
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Starting XI,Angus Thurgate,25,Central Midfield,€550k,Australia
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Starting XI,Abel Walatee,21,Left Winger,€200k,"Australia, Ghana"
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Starting XI,Matthew Grimaldi,21,Right Winger,€250k,Australia
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Starting XI,Hiroshi Ibusuki,34,Centre-Forward,€225k,Japan
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Starting XI,Noah Botic,23,Centre-Forward,€400k,"Australia, Croatia"
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Substitutes,Michael Vonja,19,Goalkeeper,€25k,Australia
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Substitutes,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Substitutes,Jordan Lauton,21,Central Midfield,€100k,Australia
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Substitutes,Ramy Najjarine,24,Centre-Forward,€300k,"Australia, Lebanon"
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Substitutes,Riku Danzaki,24,Left Winger,€325k,Japan
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Substitutes,Michael Ruhs,22,Centre-Forward,€150k,Australia
"Fri, 2/28/25",Western United FC,Central Coast Mariners,Substitutes,Luke Vickery,19,Right Winger,€25k,Australia
