Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Starting XI,Alby Kelly-Heald,19,Goalkeeper,€100k,New Zealand
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Starting XI,Scott Wootton,33,Centre-Back,€275k,England
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Starting XI,Isaac Hughes,20,Centre-Back,€300k,"New Zealand, England"
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Starting XI,Tim Payne,31,Right-Back,€450k,New Zealand
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Starting XI,Alex Rufer,28,Defensive Midfield,€600k,"New Zealand, Switzerland"
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Starting XI,Paulo Retre,31,Central Midfield,€350k,"Australia, Portugal"
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Starting XI,Matthew Sheridan,20,Central Midfield,€250k,New Zealand
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Starting XI,Chico Geraldes,29,Attacking Midfield,€1.00m,Portugal
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Starting XI,Nathan Walker,19,Attacking Midfield,€175k,New Zealand
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Starting XI,Kosta Barbarouses,35,Centre-Forward,€375k,"New Zealand, Greece"
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Substitutes,Joshua Oluwayemi,23,Goalkeeper,€300k,"Nigeria, England"
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Substitutes,Corban Piper,22,Central Midfield,€250k,New Zealand
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Substitutes,Lukas Kelly-Heald,19,Left-Back,€250k,New Zealand
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Substitutes,Kazuki Nagasawa,33,Central Midfield,€225k,Japan
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Substitutes,Luke Brooke-Smith,16,Attacking Midfield,€75k,New Zealand
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Substitutes,Marco Rojas,33,Attacking Midfield,€300k,"New Zealand, Chile"
"Fri, 2/28/25",Wellington Phoenix,Melbourne City FC,Substitutes,Hideki Ishige,30,Centre-Forward,€400k,Japan
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Starting XI,Patrick Beach,21,Goalkeeper,€300k,Australia
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Starting XI,Samuel Souprayen,36,Centre-Back,€100k,"France, Réunion"
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Starting XI,Germán Ferreyra,29,Centre-Back,€300k,Argentina
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Starting XI,Aziz Behich,34,Left-Back,€350k,"Australia, Türkiye"
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Starting XI,Nathaniel Atkinson,25,Right-Back,€700k,Australia
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Starting XI,Kai Trewin,23,Defensive Midfield,€600k,Australia
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Starting XI,Zane Schreiber,19,Attacking Midfield,€200k,Australia
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Starting XI,Kavian Rahmani,18,Left Winger,€75k,Australia
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Starting XI,Marco Tilio,23,Right Winger,€800k,Australia
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Starting XI,Andreas Kuen,29,Second Striker,€500k,Austria
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Starting XI,Max Caputo,19,Centre-Forward,€225k,Australia
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Substitutes,James Nieuwenhuizen,21,Goalkeeper,€25k,Australia
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Substitutes,Harry Politidis,22,Left Winger,€250k,Australia
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Substitutes,Callum Talbot,24,Right-Back,€350k,"Australia, Malta"
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Substitutes,Emin Durakovic,19,Left Midfield,€50k,Australia
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Substitutes,Lawrence Wong,17,Second Striker,€50k,Australia
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Substitutes,Mathew Leckie,34,Attacking Midfield,€450k,Australia
"Fri, 2/28/25",Melbourne City FC,Wellington Phoenix,Substitutes,Benjamin Mazzeo,19,Centre-Forward,€150k,Australia
