Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 3/1/25",Auckland FC,Adelaide United,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Sat, 3/1/25",Auckland FC,Adelaide United,Starting XI,Nando Pijnaker,26,Centre-Back,€375k,"New Zealand, Netherlands"
"Sat, 3/1/25",Auckland FC,Adelaide United,Starting XI,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sat, 3/1/25",Auckland FC,Adelaide United,Starting XI,Francis de Vries,30,Left-Back,€450k,New Zealand
"Sat, 3/1/25",Auckland FC,Adelaide United,Starting XI,Hiroki Sakai,34,Right-Back,€550k,Japan
"Sat, 3/1/25",Auckland FC,Adelaide United,Starting XI,Luis Felipe Gallegos,33,Central Midfield,€275k,"Chile, Italy"
"Sat, 3/1/25",Auckland FC,Adelaide United,Starting XI,Jake Brimmer,26,Central Midfield,€650k,"Australia, Malta"
"Sat, 3/1/25",Auckland FC,Adelaide United,Starting XI,Neyder Moreno,28,Left Winger,€450k,Colombia
"Sat, 3/1/25",Auckland FC,Adelaide United,Starting XI,Logan Rogerson,26,Right Winger,€350k,New Zealand
"Sat, 3/1/25",Auckland FC,Adelaide United,Starting XI,Guillermo May,26,Centre-Forward,€750k,"Uruguay, Italy"
"Sat, 3/1/25",Auckland FC,Adelaide United,Starting XI,Max Mata,24,Centre-Forward,€250k,"New Zealand, Cookinseln"
"Sat, 3/1/25",Auckland FC,Adelaide United,Substitutes,Michael Woud,26,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sat, 3/1/25",Auckland FC,Adelaide United,Substitutes,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Sat, 3/1/25",Auckland FC,Adelaide United,Substitutes,Louis Verstraete,25,Central Midfield,€550k,Belgium
"Sat, 3/1/25",Auckland FC,Adelaide United,Substitutes,Cameron Howieson,30,Central Midfield,€375k,"New Zealand, Scotland"
"Sat, 3/1/25",Auckland FC,Adelaide United,Substitutes,Marlee Francois,22,Right Winger,€50k,"Australia, England"
"Sat, 3/1/25",Auckland FC,Adelaide United,Substitutes,Liam Gillion,22,Left Winger,€400k,New Zealand
"Sat, 3/1/25",Auckland FC,Adelaide United,Substitutes,Jesse Randall,22,Centre-Forward,€250k,New Zealand
"Sat, 3/1/25",Adelaide United,Auckland FC,Starting XI,Ethan Cox,21,Goalkeeper,€50k,Australia
"Sat, 3/1/25",Adelaide United,Auckland FC,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Sat, 3/1/25",Adelaide United,Auckland FC,Starting XI,Jordan Elsey,30,Centre-Back,€300k,"Australia, England"
"Sat, 3/1/25",Adelaide United,Auckland FC,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Sat, 3/1/25",Adelaide United,Auckland FC,Starting XI,Harry Crawford,18,Right-Back,,Australia
"Sat, 3/1/25",Adelaide United,Auckland FC,Starting XI,Jay Barnett,24,Defensive Midfield,€250k,Australia
"Sat, 3/1/25",Adelaide United,Auckland FC,Starting XI,Ethan Alagich,21,Defensive Midfield,€350k,Australia
"Sat, 3/1/25",Adelaide United,Auckland FC,Starting XI,Zach Clough,29,Attacking Midfield,€650k,England
"Sat, 3/1/25",Adelaide United,Auckland FC,Starting XI,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Sat, 3/1/25",Adelaide United,Auckland FC,Starting XI,Yaya Dukuly,22,Right Winger,€125k,"Australia, Guinea"
"Sat, 3/1/25",Adelaide United,Auckland FC,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Sat, 3/1/25",Adelaide United,Auckland FC,Substitutes,James Delianov,25,Goalkeeper,€300k,Australia
"Sat, 3/1/25",Adelaide United,Auckland FC,Substitutes,Sotiri Phillis,18,Centre-Back,,Australia
"Sat, 3/1/25",Adelaide United,Auckland FC,Substitutes,Joshua Cavallo,25,Left-Back,€150k,"Australia, Italy"
"Sat, 3/1/25",Adelaide United,Auckland FC,Substitutes,Stefan Mauk,29,Attacking Midfield,€650k,"Australia, Germany"
"Sat, 3/1/25",Adelaide United,Auckland FC,Substitutes,Ryan White,20,Left Winger,€125k,Australia
"Sat, 3/1/25",Adelaide United,Auckland FC,Substitutes,Austin Ayoubi,23,Centre-Forward,€200k,Australia
"Sat, 3/1/25",Adelaide United,Auckland FC,Substitutes,Amlani Tatu,16,Right Winger,,Australia
