Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Starting XI,Matt Acton,32,Goalkeeper,€150k,"Australia, Finland"
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Starting XI,Austin Ludwik,28,Centre-Back,,Australia
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Starting XI,Hosine Bility,23,Centre-Back,€100k,"Australia, Guinea"
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€300k,"Australia, England"
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Starting XI,Louis Zabala,24,Right-Back,€200k,Australia
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Starting XI,Sam Klein,20,Central Midfield,€50k,Australia
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Starting XI,Jay O'Shea,36,Central Midfield,€275k,Ireland
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Starting XI,Henry Hore,25,Left Winger,€300k,Australia
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Starting XI,Keegan Jelacic,22,Right Winger,€300k,"Australia, New Zealand"
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Starting XI,Nathan Amanatidis,19,Centre-Forward,€125k,Australia
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Starting XI,Asumah Abubakar,27,Centre-Forward,€100k,"Portugal, Ghana"
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Substitutes,Macklin Freke,26,Goalkeeper,€300k,"Australia, New Zealand"
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Substitutes,Pearson Kasawaya,18,Left-Back,,Australia
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Substitutes,Jack Hingert,34,Centre-Back,€150k,"Sri Lanka, Australia"
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Substitutes,Florin Bérenguer,35,Attacking Midfield,€250k,France
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Substitutes,Adam Zimarino,23,Centre-Forward,€100k,Australia
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Substitutes,Jacob Brazete,19,Right Winger,€125k,"Australia, Portugal"
"Sat, 3/1/25",Brisbane Roar,Melbourne Victory,Substitutes,Ben Halloran,32,Centre-Forward,€350k,Australia
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Starting XI,Mitchell Langerak,36,Goalkeeper,€275k,Australia
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Starting XI,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Starting XI,Roderick Miranda,33,Centre-Back,€700k,"Portugal, Brazil"
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Starting XI,Kasey Bos,20,Left-Back,€400k,"Australia, Netherlands"
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Starting XI,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Starting XI,Ryan Teague,23,Defensive Midfield,€450k,Australia
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Starting XI,Jordi Valadon,21,Defensive Midfield,€350k,Australia
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Starting XI,Zinédine Machach,29,Attacking Midfield,€650k,"France, Morocco"
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Starting XI,Reno Piscopo,26,Left Winger,€500k,"Australia, Italy"
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Starting XI,Clarismario,23,Right Winger,€350k,Brazil
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Starting XI,Nikolaos Vergos,29,Centre-Forward,€450k,Greece
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Substitutes,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Substitutes,Lachlan Jackson,29,Centre-Back,€500k,Australia
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Substitutes,Adama Traoré,35,Left-Back,€150k,"Cote d'Ivoire, Australia"
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Substitutes,Fabian Monge,23,Defensive Midfield,€175k,Australia
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Substitutes,Nishan Velupillay,23,Left Winger,€400k,"Australia, Sri Lanka"
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Substitutes,Daniel Arzani,26,Left Winger,€500k,Australia
"Sat, 3/1/25",Melbourne Victory,Brisbane Roar,Substitutes,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
