Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Starting XI,Anthony Pantazopoulos,21,Centre-Back,€150k,Australia
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Starting XI,Jack Clisby,33,Left-Back,€350k,Australia
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Starting XI,Gabriel Cléùr,27,Right-Back,€400k,"Australia, Italy"
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Starting XI,Joshua Brillante,31,Central Midfield,€450k,"Australia, Italy"
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Starting XI,Oscar Priestman,21,Central Midfield,€275k,Australia
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Starting XI,Aydan Hammond,21,Right Winger,€150k,"Australia, Peru"
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Starting XI,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Starting XI,Brandon Borrello,29,Centre-Forward,€750k,"Australia, Italy"
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Substitutes,Alex Gersbach,27,Left-Back,€200k,"Australia, Greece"
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Substitutes,Mohamed Al-Taay,24,Defensive Midfield,€275k,"Iraq, Australia"
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Substitutes,Dean Pelekanos,24,Central Midfield,€175k,Australia
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Substitutes,Juan Mata,36,Attacking Midfield,€500k,Spain
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Substitutes,Jarrod Carluccio,24,Left Winger,€300k,Australia
"Sun, 3/2/25",Western Sydney Wanderers,Perth Glory,Substitutes,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Starting XI,Oliver Sail,29,Goalkeeper,€350k,"New Zealand, Australia"
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Starting XI,Takuya Okamoto,32,Centre-Back,€225k,Japan
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Starting XI,Yuto Misao,33,Left-Back,€125k,Japan
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Starting XI,Josh Risdon,32,Right-Back,€350k,Australia
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Starting XI,Nicholas Pennington,26,Central Midfield,€350k,"Australia, Italy"
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Starting XI,Luke Amos,28,Central Midfield,€250k,"England, Nigeria"
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Starting XI,Lachlan Wales,27,Left Winger,€450k,Australia
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Starting XI,Nikola Mileusnic,31,Right Winger,€300k,"Australia, Serbia"
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Starting XI,Adam Taggart,31,Centre-Forward,€650k,Australia
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Starting XI,Patrick Wood,22,Centre-Forward,€300k,Australia
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Substitutes,Kaelan Majekodunmi,21,Centre-Back,€100k,"Australia, England"
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Substitutes,Anas Hamzaoui,28,Left-Back,€150k,"Belgium, Morocco"
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Substitutes,Taras Gomulka,23,Central Midfield,€350k,"Australia, Ukraine"
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Substitutes,Trent Ostler,22,Right Winger,€200k,Australia
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Substitutes,Joel Anasmo,20,Left Winger,€75k,"Australia, Southern Sudan"
"Sun, 3/2/25",Perth Glory,Western Sydney Wanderers,Substitutes,Nathanael Blair,20,Centre-Forward,€125k,Australia
