Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Starting XI,Patrick Beach,21,Goalkeeper,€300k,Australia
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Starting XI,Samuel Souprayen,36,Centre-Back,€100k,"France, Réunion"
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Starting XI,Germán Ferreyra,29,Centre-Back,€300k,Argentina
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Starting XI,Aziz Behich,34,Left-Back,€350k,"Australia, Türkiye"
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Starting XI,Nathaniel Atkinson,25,Right-Back,€700k,Australia
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Starting XI,Kai Trewin,23,Central Midfield,€600k,Australia
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Starting XI,Mathew Leckie,34,Central Midfield,€450k,Australia
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Starting XI,Andreas Kuen,29,Attacking Midfield,€500k,Austria
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Starting XI,Kavian Rahmani,18,Left Winger,€75k,Australia
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Starting XI,Marco Tilio,23,Right Winger,€800k,Australia
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Starting XI,Max Caputo,19,Centre-Forward,€225k,Australia
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Substitutes,James Nieuwenhuizen,21,Goalkeeper,€25k,Australia
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Substitutes,Harry Politidis,22,Left Winger,€250k,Australia
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Substitutes,Callum Talbot,24,Right-Back,€350k,"Australia, Malta"
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Substitutes,Steven Ugarkovic,30,Central Midfield,€500k,"Australia, Croatia"
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Substitutes,Lawrence Wong,17,Central Midfield,€50k,Australia
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Substitutes,Yonatan Cohen,28,Right Winger,€500k,"Israel, Poland"
"Fri, 3/7/25",Melbourne City FC,Macarthur FC,Substitutes,Mikey Ghossaini,17,Centre-Forward,€50k,"Australia, Lebanon"
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Starting XI,Filip Kurto,33,Goalkeeper,€400k,Poland
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Starting XI,Matthew Jurman,35,Centre-Back,€200k,"Australia, England"
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Starting XI,Tomislav Uskok,33,Centre-Back,€250k,"Australia, Croatia"
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Starting XI,Kevin Boli,33,Centre-Back,€350k,"Cote d'Ivoire, France"
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Starting XI,Luke Brattan,34,Central Midfield,€400k,"Australia, England"
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Starting XI,Jake Hollman,23,Central Midfield,€400k,Australia
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Starting XI,Kealey Adamson,22,Right Midfield,€350k,"Australia, Tanzania"
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Starting XI,Ivan Vujica,27,Left Midfield,€350k,"Australia, Croatia"
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Starting XI,Marin Jakolis,28,Left Winger,€850k,"Croatia, Australia"
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Starting XI,Saîf-Eddine Khaoui,29,Right Winger,€1.20m,"Tunisia, France"
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Starting XI,Chris Ikonomidis,29,Centre-Forward,€300k,"Australia, Greece"
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Substitutes,Alex Robinson,19,Goalkeeper,€50k,Australia
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Substitutes,Yianni Nicolaou,25,Right-Back,€150k,"Australia, Greece"
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Substitutes,Liam Rose,27,Defensive Midfield,€250k,Australia
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Substitutes,Peter Makrillos,29,Attacking Midfield,€275k,"Australia, Greece"
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Substitutes,Frans Deli,19,Central Midfield,€100k,Australia
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Substitutes,Dean Bosnjak,18,Right Winger,€125k,Australia
"Fri, 3/7/25",Macarthur FC,Melbourne City FC,Substitutes,Harry Sawyer,28,Centre-Forward,€100k,Australia
