Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Starting XI,James Delianov,25,Goalkeeper,€300k,Australia
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Starting XI,Panagiotis Kikianis,20,Centre-Back,€300k,Australia
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Starting XI,Harry Crawford,18,Right-Back,,Australia
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Starting XI,Jay Barnett,24,Defensive Midfield,€250k,Australia
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Starting XI,Ethan Alagich,21,Defensive Midfield,€350k,Australia
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Starting XI,Stefan Mauk,29,Attacking Midfield,€650k,"Australia, Germany"
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Starting XI,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Starting XI,Zach Clough,30,Right Winger,€650k,England
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Substitutes,Ethan Cox,21,Goalkeeper,€50k,Australia
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Substitutes,Jordan Elsey,31,Centre-Back,€300k,"Australia, England"
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Substitutes,Dylan Pierias,25,Right-Back,€450k,"Australia, Italy"
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Substitutes,Jonny Yull,20,Left Winger,€225k,"Australia, England"
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Substitutes,Ryan White,20,Attacking Midfield,€125k,Australia
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Substitutes,Yaya Dukuly,22,Right Winger,€125k,"Australia, Guinea"
"Sat, 3/8/25",Adelaide United,Brisbane Roar,Substitutes,Luka Jovanovic,19,Centre-Forward,€300k,"Australia, Serbia"
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Starting XI,Macklin Freke,26,Goalkeeper,€300k,"Australia, New Zealand"
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Starting XI,Austin Ludwik,28,Centre-Back,,Australia
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Starting XI,Hosine Bility,23,Centre-Back,€100k,"Australia, Guinea"
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Starting XI,Louis Zabala,24,Left-Back,€200k,Australia
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Starting XI,Antonee Burke-Gilroy,27,Right-Back,€300k,"Australia, England"
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Starting XI,Sam Klein,20,Defensive Midfield,€50k,Australia
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Starting XI,Jay O'Shea,36,Central Midfield,€275k,Ireland
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Starting XI,Keegan Jelacic,22,Central Midfield,€300k,"Australia, New Zealand"
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Starting XI,Henry Hore,25,Attacking Midfield,€300k,Australia
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Starting XI,Nathan Amanatidis,19,Attacking Midfield,€125k,Australia
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Starting XI,Asumah Abubakar,27,Centre-Forward,€100k,"Portugal, Ghana"
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Substitutes,Matt Acton,32,Goalkeeper,€150k,"Australia, Finland"
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Substitutes,Lucas Herrington,17,Centre-Back,€125k,Australia
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Substitutes,Jack Hingert,34,Right-Back,€150k,"Sri Lanka, Australia"
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Substitutes,James Durrington,18,Central Midfield,,Australia
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Substitutes,Rafael Struick,21,Centre-Forward,€200k,"Indonesia, Netherlands"
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Substitutes,Adam Zimarino,23,Right Winger,€100k,Australia
"Sat, 3/8/25",Brisbane Roar,Adelaide United,Substitutes,Jacob Brazete,19,Left Winger,€125k,"Australia, Portugal"
