Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Starting XI,Mitchell Langerak,36,Goalkeeper,€275k,Australia
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Starting XI,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Starting XI,Roderick Miranda,33,Centre-Back,€700k,"Portugal, Brazil"
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Starting XI,Kasey Bos,20,Left-Back,€400k,"Australia, Netherlands"
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Starting XI,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Starting XI,Ryan Teague,23,Defensive Midfield,€450k,Australia
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Starting XI,Jordi Valadon,22,Defensive Midfield,€350k,Australia
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Starting XI,Reno Piscopo,26,Attacking Midfield,€500k,"Australia, Italy"
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Starting XI,Daniel Arzani,26,Left Winger,€500k,Australia
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Starting XI,Nishan Velupillay,23,Right Winger,€400k,"Australia, Sri Lanka"
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Starting XI,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Substitutes,Daniel Graskoski,18,Goalkeeper,,Australia
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Substitutes,Lachlan Jackson,29,Centre-Back,€500k,Australia
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Substitutes,Zinédine Machach,29,Attacking Midfield,€650k,"France, Morocco"
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Substitutes,Alex Badolato,20,Left Winger,€100k,Australia
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Substitutes,Clarismario,23,Right Winger,€350k,Brazil
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Substitutes,Jing Reec,21,Centre-Forward,€150k,"Australia, Southern Sudan"
"Sat, 3/8/25",Melbourne Victory,Central Coast Mariners,Substitutes,Nikolaos Vergos,29,Centre-Forward,€450k,Greece
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Starting XI,Trent Sainsbury,33,Centre-Back,€500k,"Australia, England"
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Starting XI,Nathan Paull,21,Left-Back,€325k,Australia
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Starting XI,Storm Roux,32,Right-Back,€325k,"New Zealand, Australia"
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Starting XI,Harrison Steele,22,Central Midfield,€300k,Australia
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Starting XI,Haine Eames,17,Central Midfield,€125k,Australia
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Starting XI,Mikael Doka,25,Attacking Midfield,€450k,Brazil
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Starting XI,Lucas Mauragis,23,Left Winger,€400k,"Australia, Lithuania"
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Starting XI,Miguel Di Pizio,19,Right Winger,€250k,Australia
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Starting XI,Vitor Feijão,28,Centre-Forward,€150k,Brazil
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Substitutes,Jack Warshawsky,20,Goalkeeper,€50k,Australia
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Substitutes,Sasha Kuzevski,23,Right-Back,€125k,Australia
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Substitutes,Lucas Scicluna,19,Defensive Midfield,,"Malta, Australia"
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Substitutes,Christian Theoharous,25,Right Winger,€300k,"Australia, Cyprus"
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Substitutes,Abdul Faisal,19,Left Winger,€150k,Australia
"Sat, 3/8/25",Central Coast Mariners,Melbourne Victory,Substitutes,Nicholas Duarte,21,Centre-Forward,€50k,Australia
