Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Starting XI,Matt Sutton,25,Goalkeeper,€300k,Australia
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Starting XI,Tomoki Imai,34,Centre-Back,€250k,Japan
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Starting XI,Dylan Leonard,17,Centre-Back,€250k,"Australia, Scotland"
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Starting XI,Charbel Shamoon,21,Left-Back,€200k,"Iraq, Australia"
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Starting XI,Tate Russell,25,Right-Back,€350k,Australia
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Starting XI,Rhys Bozinovski,20,Central Midfield,€275k,"Australia, Malta"
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Starting XI,Angus Thurgate,25,Central Midfield,€550k,Australia
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Starting XI,Riku Danzaki,24,Left Winger,€325k,Japan
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Starting XI,Matthew Grimaldi,21,Right Winger,€250k,Australia
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Starting XI,Hiroshi Ibusuki,34,Centre-Forward,€225k,Japan
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Starting XI,Noah Botic,23,Centre-Forward,€400k,"Australia, Croatia"
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Substitutes,Michael Vonja,19,Goalkeeper,€25k,Australia
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Substitutes,James Donachie,31,Centre-Back,€250k,Australia
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Substitutes,Jordan Lauton,21,Central Midfield,€100k,Australia
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Substitutes,Ramy Najjarine,24,Right Winger,€300k,"Australia, Lebanon"
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Substitutes,Jake Najdovski,19,Centre-Forward,€50k,Australia
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Substitutes,Michael Ruhs,22,Centre-Forward,€150k,Australia
"Sat, 3/8/25",Western United FC,Wellington Phoenix,Substitutes,Luke Vickery,19,Left Winger,€25k,Australia
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Starting XI,Alby Kelly-Heald,19,Goalkeeper,€100k,New Zealand
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Starting XI,Scott Wootton,33,Centre-Back,€275k,England
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Starting XI,Isaac Hughes,20,Centre-Back,€300k,"New Zealand, England"
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Starting XI,Tim Payne,31,Right-Back,€450k,New Zealand
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Starting XI,Alex Rufer,28,Central Midfield,€600k,"New Zealand, Switzerland"
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Starting XI,Matthew Sheridan,20,Central Midfield,€250k,New Zealand
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Starting XI,Chico Geraldes,29,Left Winger,€1.00m,Portugal
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Starting XI,Corban Piper,22,Right Winger,€250k,New Zealand
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Starting XI,Marco Rojas,33,Second Striker,€300k,"New Zealand, Chile"
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Starting XI,Kosta Barbarouses,35,Centre-Forward,€375k,"New Zealand, Greece"
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Substitutes,Dublin Boon,20,Goalkeeper,€100k,New Zealand
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Substitutes,Lukas Kelly-Heald,19,Left-Back,€250k,New Zealand
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Substitutes,Paulo Retre,32,Central Midfield,€350k,"Australia, Portugal"
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Substitutes,Kazuki Nagasawa,33,Central Midfield,€225k,Japan
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Substitutes,Luke Brooke-Smith,16,Second Striker,€75k,New Zealand
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Substitutes,Nathan Walker,19,Right Winger,€175k,New Zealand
"Sat, 3/8/25",Wellington Phoenix,Western United FC,Substitutes,Hideki Ishige,30,Left Winger,€400k,Japan
