Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Starting XI,Noah James,24,Goalkeeper,,Australia
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Starting XI,Thomas Aquilina,24,Centre-Back,€375k,"Australia, Malta"
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Starting XI,Lachlan Bayliss,22,Central Midfield,€250k,"New Zealand, Australia"
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Starting XI,Kota Mizunuma,35,Right Midfield,€350k,Japan
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Starting XI,Daniel Wilmering,24,Left Midfield,€300k,"Australia, Germany"
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Starting XI,Clayton Taylor,21,Attacking Midfield,€350k,Australia
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Starting XI,Eli Adams,22,Attacking Midfield,€250k,Australia
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Starting XI,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Substitutes,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Substitutes,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Substitutes,Dane Ingham,25,Right Midfield,€400k,"New Zealand, Australia"
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Substitutes,Matthew Scarcella,21,Central Midfield,€100k,"Australia, Italy"
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Substitutes,Charles M'Mombwa,26,Central Midfield,€200k,"Tanzania, Australia"
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Substitutes,Wellissol,27,Left Winger,€100k,Brazil
"Sun, 3/9/25",Newcastle United Jets,Auckland FC,Substitutes,Justin Vidic,20,Centre-Forward,€100k,Australia
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Starting XI,Nando Pijnaker,26,Centre-Back,€375k,"New Zealand, Netherlands"
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Starting XI,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Starting XI,Francis de Vries,30,Left-Back,€450k,New Zealand
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Starting XI,Hiroki Sakai,34,Right-Back,€550k,Japan
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Starting XI,Luis Felipe Gallegos,33,Central Midfield,€275k,"Chile, Italy"
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Starting XI,Jake Brimmer,26,Central Midfield,€650k,"Australia, Malta"
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Starting XI,Neyder Moreno,28,Left Winger,€450k,Colombia
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Starting XI,Logan Rogerson,26,Right Winger,€350k,New Zealand
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Starting XI,Jesse Randall,22,Centre-Forward,€250k,New Zealand
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Starting XI,Guillermo May,26,Centre-Forward,€750k,"Uruguay, Italy"
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Substitutes,Michael Woud,26,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Substitutes,Callan Elliot,25,Central Midfield,€300k,"New Zealand, Scotland"
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Substitutes,Louis Verstraete,25,Central Midfield,€550k,Belgium
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Substitutes,Cameron Howieson,30,Attacking Midfield,€375k,"New Zealand, Scotland"
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Substitutes,Luis Toomey,23,Central Midfield,€250k,New Zealand
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Substitutes,Marlee Francois,22,Left Winger,€50k,"Australia, England"
"Sun, 3/9/25",Auckland FC,Newcastle United Jets,Substitutes,Jonty Bidois,20,Centre-Forward,€150k,New Zealand
