Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Starting XI,Patrick Beach,21,Goalkeeper,€300k,Australia
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Starting XI,Samuel Souprayen,36,Centre-Back,€100k,"France, Réunion"
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Starting XI,Kai Trewin,23,Centre-Back,€600k,Australia
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Starting XI,Aziz Behich,34,Left-Back,€350k,"Australia, Türkiye"
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Starting XI,Nathaniel Atkinson,25,Right-Back,€700k,Australia
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Starting XI,Steven Ugarkovic,30,Defensive Midfield,€500k,"Australia, Croatia"
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Starting XI,Mathew Leckie,34,Defensive Midfield,€450k,Australia
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Starting XI,Andreas Kuen,29,Attacking Midfield,€500k,Austria
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Starting XI,Kavian Rahmani,18,Left Winger,€75k,Australia
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Starting XI,Marco Tilio,23,Right Winger,€800k,Australia
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Starting XI,Max Caputo,19,Centre-Forward,€225k,Australia
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Substitutes,James Nieuwenhuizen,21,Goalkeeper,€25k,Australia
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Substitutes,Harry Politidis,22,Left Winger,€250k,Australia
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Substitutes,Callum Talbot,24,Right-Back,€350k,"Australia, Malta"
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Substitutes,Harrison Shillington,19,Right-Back,,Australia
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Substitutes,Zane Schreiber,19,Central Midfield,€200k,Australia
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Substitutes,Lawrence Wong,17,Attacking Midfield,€50k,Australia
"Wed, 3/12/25",Melbourne City FC,Newcastle United Jets,Substitutes,Medin Memeti,17,Centre-Forward,€150k,Australia
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Starting XI,Noah James,24,Goalkeeper,,Australia
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Starting XI,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Starting XI,Charles M'Mombwa,26,Central Midfield,€200k,"Tanzania, Australia"
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Starting XI,Thomas Aquilina,24,Right Midfield,€375k,"Australia, Malta"
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Starting XI,Daniel Wilmering,24,Left Midfield,€300k,"Australia, Germany"
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Starting XI,Clayton Taylor,21,Attacking Midfield,€350k,Australia
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Starting XI,Eli Adams,23,Attacking Midfield,€250k,Australia
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Starting XI,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Substitutes,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Substitutes,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Substitutes,Dane Ingham,25,Right-Back,€400k,"New Zealand, Australia"
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Substitutes,Matthew Scarcella,21,Central Midfield,€100k,"Australia, Italy"
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Substitutes,Will Dobson,17,Central Midfield,€75k,Australia
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Substitutes,Lachlan Bayliss,22,Central Midfield,€250k,"New Zealand, Australia"
"Wed, 3/12/25",Newcastle United Jets,Melbourne City FC,Substitutes,Justin Vidic,20,Centre-Forward,€100k,Australia
