Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 3/14/25",Adelaide United,Macarthur FC,Starting XI,James Delianov,25,Goalkeeper,€300k,Australia
"Fri, 3/14/25",Adelaide United,Macarthur FC,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Fri, 3/14/25",Adelaide United,Macarthur FC,Starting XI,Panagiotis Kikianis,20,Centre-Back,€300k,Australia
"Fri, 3/14/25",Adelaide United,Macarthur FC,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Fri, 3/14/25",Adelaide United,Macarthur FC,Starting XI,Harry Crawford,18,Right-Back,,Australia
"Fri, 3/14/25",Adelaide United,Macarthur FC,Starting XI,Jay Barnett,24,Defensive Midfield,€250k,Australia
"Fri, 3/14/25",Adelaide United,Macarthur FC,Starting XI,Ethan Alagich,21,Central Midfield,€350k,Australia
"Fri, 3/14/25",Adelaide United,Macarthur FC,Starting XI,Stefan Mauk,29,Central Midfield,€650k,"Australia, Germany"
"Fri, 3/14/25",Adelaide United,Macarthur FC,Starting XI,Austin Ayoubi,23,Left Winger,€200k,Australia
"Fri, 3/14/25",Adelaide United,Macarthur FC,Starting XI,Zach Clough,30,Right Winger,€650k,England
"Fri, 3/14/25",Adelaide United,Macarthur FC,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Fri, 3/14/25",Adelaide United,Macarthur FC,Substitutes,Ethan Cox,21,Goalkeeper,€50k,Australia
"Fri, 3/14/25",Adelaide United,Macarthur FC,Substitutes,Dylan Pierias,25,Right Winger,€450k,"Australia, Italy"
"Fri, 3/14/25",Adelaide United,Macarthur FC,Substitutes,Isaías Sánchez,38,Defensive Midfield,€150k,"Spain, Australia"
"Fri, 3/14/25",Adelaide United,Macarthur FC,Substitutes,Jonny Yull,20,Right-Back,€225k,"Australia, England"
"Fri, 3/14/25",Adelaide United,Macarthur FC,Substitutes,Ryan White,20,Attacking Midfield,€125k,Australia
"Fri, 3/14/25",Adelaide United,Macarthur FC,Substitutes,Yaya Dukuly,22,Left Winger,€125k,"Australia, Guinea"
"Fri, 3/14/25",Adelaide United,Macarthur FC,Substitutes,Luka Jovanovic,19,Centre-Forward,€300k,"Australia, Serbia"
"Fri, 3/14/25",Macarthur FC,Adelaide United,Starting XI,Filip Kurto,33,Goalkeeper,€400k,Poland
"Fri, 3/14/25",Macarthur FC,Adelaide United,Starting XI,Tomislav Uskok,33,Centre-Back,€250k,"Australia, Croatia"
"Fri, 3/14/25",Macarthur FC,Adelaide United,Starting XI,Kevin Boli,33,Centre-Back,€350k,"Cote d'Ivoire, France"
"Fri, 3/14/25",Macarthur FC,Adelaide United,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Fri, 3/14/25",Macarthur FC,Adelaide United,Starting XI,Yianni Nicolaou,25,Right-Back,€150k,"Australia, Greece"
"Fri, 3/14/25",Macarthur FC,Adelaide United,Starting XI,Liam Rose,27,Defensive Midfield,€250k,Australia
"Fri, 3/14/25",Macarthur FC,Adelaide United,Starting XI,Luke Brattan,35,Defensive Midfield,€400k,"Australia, England"
"Fri, 3/14/25",Macarthur FC,Adelaide United,Starting XI,Jake Hollman,23,Attacking Midfield,€400k,Australia
"Fri, 3/14/25",Macarthur FC,Adelaide United,Starting XI,Marin Jakolis,28,Left Winger,€850k,"Croatia, Australia"
"Fri, 3/14/25",Macarthur FC,Adelaide United,Starting XI,Kealey Adamson,22,Right Winger,€350k,"Australia, Tanzania"
"Fri, 3/14/25",Macarthur FC,Adelaide United,Starting XI,Chris Ikonomidis,29,Centre-Forward,€300k,"Australia, Greece"
"Fri, 3/14/25",Macarthur FC,Adelaide United,Substitutes,Alex Robinson,20,Goalkeeper,€50k,Australia
"Fri, 3/14/25",Macarthur FC,Adelaide United,Substitutes,Matthew Jurman,35,Centre-Back,€200k,"Australia, England"
"Fri, 3/14/25",Macarthur FC,Adelaide United,Substitutes,Joshua Damevski,19,Centre-Back,€50k,Australia
"Fri, 3/14/25",Macarthur FC,Adelaide United,Substitutes,Peter Makrillos,29,Attacking Midfield,€275k,"Australia, Greece"
"Fri, 3/14/25",Macarthur FC,Adelaide United,Substitutes,Bernardo Oliveira,20,Left Winger,€300k,"Australia, Brazil"
"Fri, 3/14/25",Macarthur FC,Adelaide United,Substitutes,Dean Bosnjak,18,Right Winger,€125k,Australia
"Fri, 3/14/25",Macarthur FC,Adelaide United,Substitutes,Harry Sawyer,28,Centre-Forward,€100k,Australia
