Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Starting XI,Oliver Sail,29,Goalkeeper,€350k,"New Zealand, Australia"
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Starting XI,Tass Mourdoukoutas,26,Centre-Back,€200k,"Australia, Greece"
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Starting XI,Yuto Misao,33,Left-Back,€125k,Japan
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Starting XI,Takuya Okamoto,32,Right-Back,€225k,Japan
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Starting XI,Nicholas Pennington,26,Central Midfield,€350k,"Australia, Italy"
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Starting XI,Luke Amos,28,Central Midfield,€250k,"England, Nigeria"
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Starting XI,Lachlan Wales,27,Left Winger,€450k,Australia
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Starting XI,Nikola Mileusnic,31,Right Winger,€300k,"Australia, Serbia"
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Starting XI,Jaylan Pearman,18,Second Striker,€50k,Australia
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Starting XI,Adam Taggart,31,Centre-Forward,€650k,Australia
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Substitutes,Zach Lisolajski,19,Left-Back,€125k,Australia
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Substitutes,Taras Gomulka,23,Defensive Midfield,€350k,"Australia, Ukraine"
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Substitutes,Trent Ostler,22,Right-Back,€200k,Australia
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Substitutes,Joel Anasmo,20,Right Winger,€75k,"Australia, Southern Sudan"
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Substitutes,Nathanael Blair,21,Centre-Forward,€125k,Australia
"Sat, 3/15/25",Perth Glory,Brisbane Roar,Substitutes,Patrick Wood,22,Centre-Forward,€300k,Australia
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Starting XI,Matt Acton,32,Goalkeeper,€150k,"Australia, Finland"
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Starting XI,Lucas Herrington,17,Centre-Back,€125k,Australia
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Starting XI,Hosine Bility,23,Centre-Back,€100k,"Australia, Guinea"
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Starting XI,Louis Zabala,24,Left-Back,€200k,Australia
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Starting XI,Jack Hingert,34,Right-Back,€150k,"Sri Lanka, Australia"
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Starting XI,Sam Klein,21,Central Midfield,€50k,Australia
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Starting XI,Jay O'Shea,36,Central Midfield,€275k,Ireland
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Starting XI,Henry Hore,25,Left Winger,€300k,Australia
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Starting XI,Ben Halloran,32,Right Winger,€350k,Australia
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Starting XI,Keegan Jelacic,22,Second Striker,€300k,"Australia, New Zealand"
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Starting XI,Asumah Abubakar,27,Centre-Forward,€100k,"Portugal, Ghana"
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Substitutes,Macklin Freke,26,Goalkeeper,€300k,"Australia, New Zealand"
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Substitutes,Antonee Burke-Gilroy,27,Right-Back,€300k,"Australia, England"
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Substitutes,Walid Shour,28,Central Midfield,€300k,"Lebanon, Sierra Leone"
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Substitutes,Florin Bérenguer,35,Second Striker,€250k,France
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Substitutes,Rafael Struick,21,Left Winger,€200k,"Indonesia, Netherlands"
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Substitutes,Nathan Amanatidis,19,Centre-Forward,€125k,Australia
"Sat, 3/15/25",Brisbane Roar,Perth Glory,Substitutes,Jacob Brazete,19,Right Winger,€125k,"Australia, Portugal"
