Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Anthony Pantazopoulos,21,Centre-Back,€150k,Australia
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Jack Clisby,33,Left-Back,€350k,Australia
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Gabriel Cléùr,27,Right-Back,€400k,"Australia, Italy"
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Joshua Brillante,31,Defensive Midfield,€450k,"Australia, Italy"
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Oscar Priestman,21,Defensive Midfield,€275k,Australia
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Aydan Hammond,21,Right Winger,€150k,"Australia, Peru"
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Brandon Borrello,29,Centre-Forward,€750k,"Australia, Italy"
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,Alex Gersbach,27,Left-Back,€200k,"Australia, Greece"
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,Dean Pelekanos,24,Central Midfield,€175k,Australia
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,Juan Mata,36,Attacking Midfield,€500k,Spain
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,Nicolas Milanovic,23,Right Winger,€700k,"Australia, Croatia"
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,Jarrod Carluccio,24,Right-Back,€300k,Australia
"Sat, 3/15/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Mitchell Langerak,36,Goalkeeper,€275k,Australia
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Roderick Miranda,33,Centre-Back,€700k,"Portugal, Brazil"
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Kasey Bos,20,Left-Back,€400k,"Australia, Netherlands"
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Ryan Teague,23,Defensive Midfield,€450k,Australia
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Jordi Valadon,22,Defensive Midfield,€350k,Australia
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Reno Piscopo,26,Attacking Midfield,€500k,"Australia, Italy"
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Daniel Arzani,26,Left Winger,€500k,Australia
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Nishan Velupillay,23,Right Winger,€400k,"Australia, Sri Lanka"
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Daniel Graskoski,18,Goalkeeper,,Australia
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Lachlan Jackson,30,Centre-Back,€500k,Australia
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Adama Traoré,35,Left-Back,€150k,"Cote d'Ivoire, Australia"
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Fabian Monge,23,Defensive Midfield,€175k,Australia
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Zinédine Machach,29,Attacking Midfield,€650k,"France, Morocco"
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Clarismario,23,Left Winger,€350k,Brazil
"Sat, 3/15/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Nikolaos Vergos,29,Centre-Forward,€450k,Greece
