Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Starting XI,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Starting XI,Daniel Hall,25,Centre-Back,€400k,"Australia, Fiji"
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Starting XI,Francis de Vries,30,Left-Back,€450k,New Zealand
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Starting XI,Hiroki Sakai,34,Right-Back,€550k,Japan
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Starting XI,Luis Felipe Gallegos,33,Central Midfield,€275k,"Chile, Italy"
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Starting XI,Jake Brimmer,26,Central Midfield,€650k,"Australia, Malta"
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Starting XI,Neyder Moreno,28,Left Winger,€450k,Colombia
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Starting XI,Logan Rogerson,26,Right Winger,€350k,New Zealand
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Starting XI,Jesse Randall,22,Centre-Forward,€250k,New Zealand
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Starting XI,Guillermo May,27,Centre-Forward,€750k,"Uruguay, Italy"
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Substitutes,Michael Woud,26,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Substitutes,Adama Coulibaly,20,Centre-Back,€100k,"New Zealand, Mali"
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Substitutes,Callan Elliot,25,Central Midfield,€300k,"New Zealand, Scotland"
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Substitutes,Cameron Howieson,30,Second Striker,€375k,"New Zealand, Scotland"
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Substitutes,Luis Toomey,23,Right Winger,€250k,New Zealand
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Substitutes,Marlee Francois,22,Left Winger,€50k,"Australia, England"
"Sun, 3/16/25",Auckland FC,Central Coast Mariners,Substitutes,Jonty Bidois,20,Centre-Forward,€150k,New Zealand
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Starting XI,Nathan Paull,21,Centre-Back,€325k,Australia
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Starting XI,Trent Sainsbury,33,Centre-Back,€500k,"Australia, England"
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Starting XI,Lucas Mauragis,23,Left-Back,€400k,"Australia, Lithuania"
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Starting XI,Mikael Doka,25,Right-Back,€450k,Brazil
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Starting XI,Alfie McCalmont,24,Central Midfield,€300k,"Northern Ireland, England"
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Starting XI,Haine Eames,17,Central Midfield,€125k,Australia
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Starting XI,Christian Theoharous,25,Left Winger,€300k,"Australia, Cyprus"
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Starting XI,Vitor Feijão,28,Right Winger,€150k,Brazil
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Substitutes,Jack Warshawsky,20,Goalkeeper,€50k,Australia
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Substitutes,Storm Roux,32,Right-Back,€325k,"New Zealand, Australia"
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Substitutes,Harrison Steele,22,Central Midfield,€300k,Australia
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Substitutes,Abdul Faisal,19,Right Winger,€150k,Australia
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Substitutes,Miguel Di Pizio,19,Second Striker,€250k,Australia
"Sun, 3/16/25",Central Coast Mariners,Auckland FC,Substitutes,Nicholas Duarte,21,Centre-Forward,€50k,Australia
