Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Starting XI,Noah James,24,Goalkeeper,,Australia
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Starting XI,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Starting XI,Lachlan Bayliss,22,Central Midfield,€250k,"New Zealand, Australia"
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Starting XI,Thomas Aquilina,24,Right Midfield,€375k,"Australia, Malta"
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Starting XI,Daniel Wilmering,24,Left Midfield,€300k,"Australia, Germany"
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Starting XI,Clayton Taylor,21,Attacking Midfield,€350k,Australia
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Starting XI,Eli Adams,23,Attacking Midfield,€250k,Australia
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Starting XI,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Substitutes,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Substitutes,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Substitutes,Dane Ingham,25,Right-Back,€400k,"New Zealand, Australia"
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Substitutes,Matthew Scarcella,21,Central Midfield,€100k,"Australia, Italy"
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Substitutes,Charles M'Mombwa,27,Central Midfield,€200k,"Tanzania, Australia"
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Substitutes,Will Dobson,17,Attacking Midfield,€75k,Australia
"Sun, 3/16/25",Newcastle United Jets,Western United FC,Substitutes,Justin Vidic,20,Centre-Forward,€100k,Australia
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Starting XI,Matt Sutton,25,Goalkeeper,€300k,Australia
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Starting XI,James Donachie,31,Centre-Back,€250k,Australia
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Starting XI,Dylan Leonard,17,Centre-Back,€250k,"Australia, Scotland"
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Starting XI,Charbel Shamoon,21,Left-Back,€200k,"Iraq, Australia"
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Starting XI,Tomoki Imai,34,Right-Back,€250k,Japan
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Starting XI,Rhys Bozinovski,20,Central Midfield,€275k,"Australia, Malta"
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Starting XI,Angus Thurgate,25,Central Midfield,€550k,Australia
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Starting XI,Riku Danzaki,24,Left Winger,€325k,Japan
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Starting XI,Matthew Grimaldi,21,Right Winger,€250k,Australia
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Starting XI,Hiroshi Ibusuki,34,Centre-Forward,€225k,Japan
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Starting XI,Noah Botic,23,Centre-Forward,€400k,"Australia, Croatia"
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Substitutes,Michael Vonja,19,Goalkeeper,€25k,Australia
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Substitutes,Tate Russell,25,Right-Back,€350k,Australia
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Substitutes,Jordan Lauton,21,Central Midfield,€100k,Australia
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Substitutes,Ramy Najjarine,24,Right Winger,€300k,"Australia, Lebanon"
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Substitutes,Jake Najdovski,20,Centre-Forward,€50k,Australia
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Substitutes,Michael Ruhs,22,Centre-Forward,€150k,Australia
"Sun, 3/16/25",Western United FC,Newcastle United Jets,Substitutes,Luke Vickery,19,Centre-Forward,€25k,Australia
