Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€200k,Australia
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Starting XI,Alex Grant,31,Centre-Back,€450k,"Australia, England"
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Starting XI,Rhyan Grant,34,Centre-Back,€450k,Australia
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Starting XI,Jordan Courtney-Perkins,22,Left-Back,€450k,Australia
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Starting XI,Joel King,24,Right-Back,€400k,Australia
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Starting XI,Corey Hollman,21,Central Midfield,€350k,Australia
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Starting XI,Léo Sena,29,Central Midfield,€550k,Brazil
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Starting XI,Anthony Cáceres,32,Left Winger,€600k,"Australia, Uruguay"
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Starting XI,Adrian Segecic,20,Right Winger,€400k,"Australia, Croatia"
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Starting XI,Joe Lolley,32,Centre-Forward,€1.30m,England
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Substitutes,Gus Hoefsloot,19,Goalkeeper,€50k,"Australia, Netherlands"
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Substitutes,Will Kennedy,20,Left-Back,€50k,"Australia, England"
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Substitutes,Wataru Kamijo,18,Central Midfield,€100k,"Australia, Japan"
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Substitutes,Tiago Quintal,18,Centre-Forward,€100k,"Australia, Portugal"
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Substitutes,Jaiden Kucharski,22,Centre-Forward,€400k,"Australia, Poland"
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Substitutes,Douglas Costa,34,Right Winger,€700k,Brazil
"Sun, 3/16/25",Sydney FC,Wellington Phoenix,Substitutes,Jaushua Sotirio,29,Centre-Forward,€250k,"Neukaledonien, Australia"
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Starting XI,Joshua Oluwayemi,24,Goalkeeper,€300k,"Nigeria, England"
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Starting XI,Scott Wootton,33,Centre-Back,€275k,England
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Starting XI,Isaac Hughes,20,Centre-Back,€300k,"New Zealand, England"
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Starting XI,Matthew Sheridan,20,Centre-Back,€250k,New Zealand
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Starting XI,Tim Payne,31,Right-Back,€450k,New Zealand
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Starting XI,Lukas Kelly-Heald,19,Defensive Midfield,€250k,New Zealand
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Starting XI,Alex Rufer,28,Defensive Midfield,€600k,"New Zealand, Switzerland"
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Starting XI,Paulo Retre,32,Central Midfield,€350k,"Australia, Portugal"
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Starting XI,Chico Geraldes,29,Second Striker,€1.00m,Portugal
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Starting XI,Kosta Barbarouses,35,Centre-Forward,€375k,"New Zealand, Greece"
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Substitutes,Dublin Boon,20,Goalkeeper,€100k,New Zealand
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Substitutes,Corban Piper,22,Centre-Back,€250k,New Zealand
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Substitutes,Kazuki Nagasawa,33,Central Midfield,€225k,Japan
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Substitutes,Luke Brooke-Smith,16,Attacking Midfield,€75k,New Zealand
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Substitutes,Nathan Walker,19,Left Winger,€175k,New Zealand
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Substitutes,Gabriel Sloane-Rodrigues,17,Right Winger,€75k,"New Zealand, Brazil"
"Sun, 3/16/25",Wellington Phoenix,Sydney FC,Substitutes,Hideki Ishige,30,Second Striker,€400k,Japan
