Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Starting XI,Mitchell Langerak,36,Goalkeeper,€275k,Australia
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Starting XI,Lachlan Jackson,30,Centre-Back,€500k,Australia
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Starting XI,Roderick Miranda,33,Centre-Back,€700k,"Portugal, Brazil"
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Starting XI,Kasey Bos,20,Left-Back,€400k,"Australia, Netherlands"
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Starting XI,Joshua Inserra,20,Right-Back,€50k,Australia
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Starting XI,Fabian Monge,23,Defensive Midfield,€175k,Australia
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Starting XI,Zinédine Machach,29,Defensive Midfield,€650k,"France, Morocco"
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Starting XI,Reno Piscopo,26,Attacking Midfield,€500k,"Australia, Italy"
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Starting XI,Nishan Velupillay,23,Left Winger,€400k,"Australia, Sri Lanka"
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Starting XI,Daniel Arzani,26,Right Winger,€500k,Australia
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Starting XI,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Substitutes,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Substitutes,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Substitutes,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Substitutes,Jordi Valadon,22,Defensive Midfield,€350k,Australia
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Substitutes,Alex Badolato,20,Attacking Midfield,€100k,Australia
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Substitutes,Jing Reec,21,Centre-Forward,€150k,"Australia, Southern Sudan"
"Sat, 3/29/25",Melbourne Victory,Adelaide United,Substitutes,Nikolaos Vergos,29,Centre-Forward,€450k,Greece
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Starting XI,James Delianov,25,Goalkeeper,€300k,Australia
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Starting XI,Panagiotis Kikianis,20,Centre-Back,€300k,Australia
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Starting XI,Dylan Pierias,25,Right-Back,€450k,"Australia, Italy"
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Starting XI,Jay Barnett,24,Central Midfield,€250k,Australia
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Starting XI,Ethan Alagich,21,Central Midfield,€350k,Australia
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Starting XI,Stefan Mauk,29,Attacking Midfield,€650k,"Australia, Germany"
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Starting XI,Austin Ayoubi,23,Left Winger,€200k,Australia
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Starting XI,Jonny Yull,20,Right Winger,€225k,"Australia, England"
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Substitutes,Ethan Cox,21,Goalkeeper,€50k,Australia
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Substitutes,Javi López,39,Right-Back,€125k,Spain
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Substitutes,Isaías Sánchez,38,Central Midfield,€150k,"Spain, Australia"
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Substitutes,Ryan White,20,Attacking Midfield,€125k,Australia
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Substitutes,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Substitutes,Zach Clough,30,Left Winger,€650k,England
"Sat, 3/29/25",Adelaide United,Melbourne Victory,Substitutes,Luka Jovanovic,19,Centre-Forward,€300k,"Australia, Serbia"
