Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€200k,Australia
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Starting XI,Alex Grant,31,Centre-Back,€450k,"Australia, England"
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Starting XI,Alexandar Popovic,22,Centre-Back,€350k,Australia
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Starting XI,Jordan Courtney-Perkins,22,Left-Back,€450k,Australia
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Starting XI,Joel King,24,Right-Back,€400k,Australia
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Starting XI,Léo Sena,29,Defensive Midfield,€550k,Brazil
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Starting XI,Wataru Kamijo,18,Defensive Midfield,€100k,"Australia, Japan"
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Starting XI,Joe Lolley,32,Attacking Midfield,€1.30m,England
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Starting XI,Anthony Cáceres,32,Left Winger,€600k,"Australia, Uruguay"
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Starting XI,Douglas Costa,34,Right Winger,€700k,Brazil
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Substitutes,Andrew Redmayne,36,Goalkeeper,€300k,Australia
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Substitutes,Zach De Jesus,19,Right-Back,€50k,Australia
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Substitutes,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Substitutes,Tiago Quintal,18,Attacking Midfield,€100k,"Australia, Portugal"
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Substitutes,Anas Ouahim,27,Attacking Midfield,€600k,"Morocco, Germany"
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Substitutes,Jaiden Kucharski,22,Centre-Forward,€400k,"Australia, Poland"
"Sat, 3/29/25",Sydney FC,Melbourne City FC,Substitutes,Adrian Segecic,20,Attacking Midfield,€400k,"Australia, Croatia"
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Starting XI,Patrick Beach,21,Goalkeeper,€300k,Australia
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Starting XI,Samuel Souprayen,36,Centre-Back,€100k,"France, Réunion"
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Starting XI,Germán Ferreyra,29,Centre-Back,€300k,Argentina
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Starting XI,Aziz Behich,34,Left-Back,€350k,"Australia, Türkiye"
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Starting XI,Nathaniel Atkinson,25,Right-Back,€700k,Australia
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Starting XI,Kai Trewin,23,Defensive Midfield,€600k,Australia
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Starting XI,Alessandro Lopane,20,Defensive Midfield,€275k,Australia
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Starting XI,Marco Tilio,23,Left Winger,€800k,Australia
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Starting XI,Medin Memeti,17,Right Winger,€150k,Australia
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Starting XI,Andreas Kuen,30,Second Striker,€500k,Austria
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Starting XI,Max Caputo,19,Centre-Forward,€225k,Australia
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Substitutes,Lachie Charles,17,Goalkeeper,,Australia
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Substitutes,Harry Politidis,22,Left Winger,€250k,Australia
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Substitutes,Callum Talbot,24,Right-Back,€350k,"Australia, Malta"
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Substitutes,Zane Schreiber,19,Defensive Midfield,€200k,Australia
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Substitutes,Lawrence Wong,17,Attacking Midfield,€50k,Australia
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Substitutes,Yonatan Cohen,28,Centre-Forward,€500k,"Israel, Poland"
"Sat, 3/29/25",Melbourne City FC,Sydney FC,Substitutes,Kavian Rahmani,18,Right Winger,€75k,Australia
