Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Joshua Oluwayemi,24,Goalkeeper,€300k,"Nigeria, England"
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Tim Payne,31,Centre-Back,€450k,New Zealand
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Matthew Sheridan,20,Centre-Back,€250k,New Zealand
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Corban Piper,22,Right-Back,€250k,New Zealand
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Lukas Kelly-Heald,20,Defensive Midfield,€250k,New Zealand
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Kazuki Nagasawa,33,Defensive Midfield,€225k,Japan
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Chico Geraldes,29,Attacking Midfield,€1.00m,Portugal
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Hideki Ishige,30,Left Winger,€400k,Japan
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Luke Brooke-Smith,16,Right Winger,€75k,New Zealand
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Kosta Barbarouses,35,Centre-Forward,€375k,"New Zealand, Greece"
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Dublin Boon,20,Goalkeeper,€100k,New Zealand
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Jayden Smith,17,Centre-Back,€100k,"New Zealand, England"
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Fin Roa Conchie,21,Defensive Midfield,€200k,New Zealand
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Lachlan Candy,19,Attacking Midfield,€100k,New Zealand
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Nathan Walker,19,Right Winger,€175k,New Zealand
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Gabriel Sloane-Rodrigues,17,Right Winger,€75k,"New Zealand, Brazil"
"Sat, 3/29/25",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Marco Rojas,33,Right Winger,€300k,"New Zealand, Chile"
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Anthony Pantazopoulos,21,Centre-Back,€150k,Australia
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Jack Clisby,33,Left-Back,€350k,Australia
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Gabriel Cléùr,27,Right-Back,€400k,"Australia, Italy"
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Joshua Brillante,32,Defensive Midfield,€450k,"Australia, Italy"
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Oscar Priestman,22,Defensive Midfield,€275k,Australia
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Nicolas Milanovic,23,Right Winger,€700k,"Australia, Croatia"
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Brandon Borrello,29,Centre-Forward,€750k,"Australia, Italy"
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Substitutes,Joshua Laws,27,Centre-Back,€300k,"Australia, Scotland"
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Substitutes,Alex Gersbach,27,Left-Back,€200k,"Australia, Greece"
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Substitutes,Dean Pelekanos,24,Defensive Midfield,€175k,Australia
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Substitutes,Juan Mata,36,Attacking Midfield,€500k,Spain
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Substitutes,Jarrod Carluccio,24,Right-Back,€300k,Australia
"Sat, 3/29/25",Western Sydney Wanderers,Wellington Phoenix,Substitutes,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
