Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Starting XI,Matt Acton,32,Goalkeeper,€150k,"Australia, Finland"
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Starting XI,Lucas Herrington,17,Centre-Back,€125k,Australia
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Starting XI,Hosine Bility,23,Centre-Back,€100k,"Australia, Guinea"
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Starting XI,Louis Zabala,24,Left-Back,€200k,Australia
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Starting XI,Jack Hingert,34,Right-Back,€150k,"Sri Lanka, Australia"
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Starting XI,Sam Klein,21,Defensive Midfield,€50k,Australia
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Starting XI,Jay O'Shea,36,Defensive Midfield,€275k,Ireland
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Starting XI,Henry Hore,25,Attacking Midfield,€300k,Australia
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Starting XI,Jacob Brazete,19,Left Winger,€125k,"Australia, Portugal"
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Starting XI,Ben Halloran,32,Right Winger,€350k,Australia
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Starting XI,Asumah Abubakar,27,Centre-Forward,€100k,"Portugal, Ghana"
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Substitutes,Macklin Freke,26,Goalkeeper,€300k,"Australia, New Zealand"
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Substitutes,Austin Ludwik,28,Centre-Back,,Australia
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Substitutes,Pearson Kasawaya,18,Left-Back,,Australia
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Substitutes,Antonee Burke-Gilroy,27,Right-Back,€300k,"Australia, England"
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Substitutes,Florin Bérenguer,35,Left Winger,€250k,France
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Substitutes,Adam Zimarino,23,Centre-Forward,€100k,Australia
"Sun, 3/30/25",Brisbane Roar,Auckland FC,Substitutes,Nathan Amanatidis,19,Right Winger,€125k,Australia
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Starting XI,Nando Pijnaker,26,Centre-Back,€375k,"New Zealand, Netherlands"
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Starting XI,Daniel Hall,25,Centre-Back,€400k,"Australia, Fiji"
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Starting XI,Francis de Vries,30,Left-Back,€450k,New Zealand
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Starting XI,Hiroki Sakai,34,Right-Back,€550k,Japan
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Starting XI,Louis Verstraete,25,Central Midfield,€550k,Belgium
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Starting XI,Luis Felipe Gallegos,33,Central Midfield,€275k,"Chile, Italy"
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Starting XI,Marlee Francois,22,Left Winger,€50k,"Australia, England"
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Starting XI,Logan Rogerson,26,Right Winger,€350k,New Zealand
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Starting XI,Guillermo May,27,Centre-Forward,€750k,"Uruguay, Italy"
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Starting XI,Max Mata,24,Centre-Forward,€250k,"New Zealand, Cookinseln"
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Substitutes,Michael Woud,26,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Substitutes,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Substitutes,Callan Elliot,25,Left-Back,€300k,"New Zealand, Scotland"
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Substitutes,Cameron Howieson,30,Centre-Forward,€375k,"New Zealand, Scotland"
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Substitutes,Luis Toomey,23,Left Winger,€250k,New Zealand
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Substitutes,Jake Brimmer,26,Central Midfield,€650k,"Australia, Malta"
"Sun, 3/30/25",Auckland FC,Brisbane Roar,Substitutes,Jesse Randall,22,Right Winger,€250k,New Zealand
