Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Starting XI,Matt Acton,32,Goalkeeper,€150k,"Australia, Finland"
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Starting XI,Lucas Herrington,17,Centre-Back,€125k,Australia
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Starting XI,Hosine Bility,23,Centre-Back,€100k,"Australia, Guinea"
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€300k,"Australia, England"
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Starting XI,Louis Zabala,24,Right-Back,€200k,Australia
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Starting XI,Sam Klein,21,Central Midfield,€50k,Australia
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Starting XI,Jay O'Shea,36,Central Midfield,€275k,Ireland
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Starting XI,Florin Bérenguer,36,Left Winger,€250k,France
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Starting XI,Keegan Jelacic,22,Right Winger,€300k,"Australia, New Zealand"
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Starting XI,Nathan Amanatidis,19,Centre-Forward,€125k,Australia
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Starting XI,Asumah Abubakar,27,Centre-Forward,€100k,"Portugal, Ghana"
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Substitutes,Macklin Freke,26,Goalkeeper,€300k,"Australia, New Zealand"
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Substitutes,Austin Ludwik,28,Centre-Back,,Australia
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Substitutes,Pearson Kasawaya,18,Left-Back,€50k,Australia
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Substitutes,Walid Shour,28,Right-Back,€300k,"Lebanon, Sierra Leone"
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Substitutes,Henry Hore,25,Left Winger,€300k,Australia
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Substitutes,Jacob Brazete,19,Right Winger,€125k,"Australia, Portugal"
"Fri, 4/4/25",Brisbane Roar,Macarthur FC,Substitutes,Ben Halloran,32,Centre-Forward,€350k,Australia
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Starting XI,Filip Kurto,33,Goalkeeper,€400k,Poland
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Starting XI,Tomislav Uskok,33,Centre-Back,€250k,"Australia, Croatia"
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Starting XI,Kevin Boli,33,Centre-Back,€350k,"Cote d'Ivoire, France"
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Starting XI,Kealey Adamson,22,Right-Back,€350k,"Australia, Tanzania"
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Starting XI,Luke Brattan,35,Defensive Midfield,€400k,"Australia, England"
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Starting XI,Frans Deli,19,Defensive Midfield,€100k,Australia
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Starting XI,Saîf-Eddine Khaoui,29,Attacking Midfield,€1.20m,"Tunisia, France"
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Starting XI,Marin Jakolis,28,Left Winger,€850k,"Croatia, Australia"
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Starting XI,Dean Bosnjak,18,Right Winger,€125k,Australia
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Starting XI,Chris Ikonomidis,29,Centre-Forward,€300k,"Australia, Greece"
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Substitutes,Alex Robinson,20,Goalkeeper,€50k,Australia
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Substitutes,Matthew Jurman,35,Centre-Back,€200k,"Australia, England"
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Substitutes,Walter Scott,25,Right Winger,€200k,Australia
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Substitutes,Liam Rose,27,Defensive Midfield,€250k,Australia
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Substitutes,Daniel De Silva,28,Right Winger,€325k,Australia
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Substitutes,Jake Hollman,23,Attacking Midfield,€400k,Australia
"Fri, 4/4/25",Macarthur FC,Brisbane Roar,Substitutes,Harry Sawyer,28,Centre-Forward,€100k,Australia
