Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 4/5/25",Adelaide United,Sydney FC,Starting XI,Max Vartuli,20,Goalkeeper,€25k,"Australia, Italy"
"Sat, 4/5/25",Adelaide United,Sydney FC,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Sat, 4/5/25",Adelaide United,Sydney FC,Starting XI,Panagiotis Kikianis,20,Centre-Back,€300k,Australia
"Sat, 4/5/25",Adelaide United,Sydney FC,Starting XI,Javi López,39,Left-Back,€125k,Spain
"Sat, 4/5/25",Adelaide United,Sydney FC,Starting XI,Dylan Pierias,25,Right-Back,€450k,"Australia, Italy"
"Sat, 4/5/25",Adelaide United,Sydney FC,Starting XI,Ethan Alagich,21,Defensive Midfield,€350k,Australia
"Sat, 4/5/25",Adelaide United,Sydney FC,Starting XI,Stefan Mauk,29,Defensive Midfield,€650k,"Australia, Germany"
"Sat, 4/5/25",Adelaide United,Sydney FC,Starting XI,Zach Clough,30,Attacking Midfield,€650k,England
"Sat, 4/5/25",Adelaide United,Sydney FC,Starting XI,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Sat, 4/5/25",Adelaide United,Sydney FC,Starting XI,Jonny Yull,20,Right Winger,€225k,"Australia, England"
"Sat, 4/5/25",Adelaide United,Sydney FC,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Sat, 4/5/25",Adelaide United,Sydney FC,Substitutes,James Delianov,25,Goalkeeper,€300k,Australia
"Sat, 4/5/25",Adelaide United,Sydney FC,Substitutes,Isaías Sánchez,38,Centre-Back,€150k,"Spain, Australia"
"Sat, 4/5/25",Adelaide United,Sydney FC,Substitutes,Jay Barnett,24,Right-Back,€250k,Australia
"Sat, 4/5/25",Adelaide United,Sydney FC,Substitutes,Ryan White,20,Attacking Midfield,€125k,Australia
"Sat, 4/5/25",Adelaide United,Sydney FC,Substitutes,Austin Ayoubi,23,Left Winger,€200k,Australia
"Sat, 4/5/25",Adelaide United,Sydney FC,Substitutes,Yaya Dukuly,22,Left Winger,€125k,"Australia, Guinea"
"Sat, 4/5/25",Adelaide United,Sydney FC,Substitutes,Luka Jovanovic,19,Centre-Forward,€300k,"Australia, Serbia"
"Sat, 4/5/25",Sydney FC,Adelaide United,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€200k,Australia
"Sat, 4/5/25",Sydney FC,Adelaide United,Starting XI,Alex Grant,31,Centre-Back,€450k,"Australia, England"
"Sat, 4/5/25",Sydney FC,Adelaide United,Starting XI,Rhyan Grant,34,Centre-Back,€450k,Australia
"Sat, 4/5/25",Sydney FC,Adelaide United,Starting XI,Jordan Courtney-Perkins,22,Left-Back,€450k,Australia
"Sat, 4/5/25",Sydney FC,Adelaide United,Starting XI,Joel King,24,Right-Back,€400k,Australia
"Sat, 4/5/25",Sydney FC,Adelaide United,Starting XI,Léo Sena,29,Defensive Midfield,€550k,Brazil
"Sat, 4/5/25",Sydney FC,Adelaide United,Starting XI,Wataru Kamijo,18,Defensive Midfield,€100k,"Australia, Japan"
"Sat, 4/5/25",Sydney FC,Adelaide United,Starting XI,Anthony Cáceres,32,Attacking Midfield,€600k,"Australia, Uruguay"
"Sat, 4/5/25",Sydney FC,Adelaide United,Starting XI,Douglas Costa,34,Left Winger,€700k,Brazil
"Sat, 4/5/25",Sydney FC,Adelaide United,Starting XI,Joe Lolley,32,Right Winger,€1.30m,England
"Sat, 4/5/25",Sydney FC,Adelaide United,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Sat, 4/5/25",Sydney FC,Adelaide United,Substitutes,Andrew Redmayne,36,Goalkeeper,€300k,Australia
"Sat, 4/5/25",Sydney FC,Adelaide United,Substitutes,Zach De Jesus,19,Right-Back,€50k,Australia
"Sat, 4/5/25",Sydney FC,Adelaide United,Substitutes,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Sat, 4/5/25",Sydney FC,Adelaide United,Substitutes,Tiago Quintal,18,Attacking Midfield,€100k,"Australia, Portugal"
"Sat, 4/5/25",Sydney FC,Adelaide United,Substitutes,Anas Ouahim,27,Attacking Midfield,€600k,"Morocco, Germany"
"Sat, 4/5/25",Sydney FC,Adelaide United,Substitutes,Jaiden Kucharski,22,Left Winger,€400k,"Australia, Poland"
"Sat, 4/5/25",Sydney FC,Adelaide United,Substitutes,Adrian Segecic,20,Left Winger,€400k,"Australia, Croatia"
