Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Starting XI,Nando Pijnaker,26,Centre-Back,€375k,"New Zealand, Netherlands"
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Starting XI,Daniel Hall,25,Centre-Back,€400k,"Australia, Fiji"
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Starting XI,Francis de Vries,30,Left-Back,€450k,New Zealand
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Starting XI,Hiroki Sakai,34,Right-Back,€550k,Japan
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Starting XI,Louis Verstraete,25,Central Midfield,€550k,Belgium
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Starting XI,Luis Felipe Gallegos,33,Central Midfield,€275k,"Chile, Italy"
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Starting XI,Marlee Francois,22,Left Winger,€50k,"Australia, England"
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Starting XI,Logan Rogerson,26,Right Winger,€350k,New Zealand
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Starting XI,Guillermo May,27,Centre-Forward,€750k,"Uruguay, Italy"
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Starting XI,Max Mata,24,Centre-Forward,€250k,"New Zealand, Cookinseln"
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Substitutes,Michael Woud,26,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Substitutes,Tommy Smith,35,Centre-Back,€100k,"New Zealand, England"
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Substitutes,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Substitutes,Cameron Howieson,30,Second Striker,€375k,"New Zealand, Scotland"
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Substitutes,Luis Toomey,23,Central Midfield,€250k,New Zealand
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Substitutes,Jake Brimmer,27,Central Midfield,€650k,"Australia, Malta"
"Sat, 4/5/25",Auckland FC,Western Sydney Wanderers,Substitutes,Jesse Randall,22,Left Winger,€250k,New Zealand
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Starting XI,Anthony Pantazopoulos,21,Centre-Back,€150k,Australia
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Starting XI,Alex Gersbach,27,Left-Back,€200k,"Australia, Greece"
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Starting XI,Gabriel Cléùr,27,Right-Back,€400k,"Australia, Italy"
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Starting XI,Joshua Brillante,32,Central Midfield,€450k,"Australia, Italy"
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Starting XI,Oscar Priestman,22,Central Midfield,€275k,Australia
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Starting XI,Nicolas Milanovic,23,Right Winger,€700k,"Australia, Croatia"
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Starting XI,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Starting XI,Brandon Borrello,29,Centre-Forward,€750k,"Australia, Italy"
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Substitutes,Joshua Laws,27,Centre-Back,€300k,"Australia, Scotland"
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Substitutes,Jack Clisby,33,Left-Back,€350k,Australia
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Substitutes,Mohamed Al-Taay,24,Defensive Midfield,€275k,"Iraq, Australia"
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Substitutes,Juan Mata,36,Central Midfield,€500k,Spain
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Substitutes,Aydan Hammond,21,Centre-Forward,€150k,"Australia, Peru"
"Sat, 4/5/25",Western Sydney Wanderers,Auckland FC,Substitutes,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
