Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Starting XI,Patrick Beach,21,Goalkeeper,€300k,Australia
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Starting XI,Samuel Souprayen,36,Centre-Back,€100k,"France, Réunion"
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Starting XI,Germán Ferreyra,29,Centre-Back,€300k,Argentina
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Starting XI,Aziz Behich,34,Left-Back,€350k,"Australia, Türkiye"
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Starting XI,Nathaniel Atkinson,25,Right-Back,€700k,Australia
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Starting XI,Kai Trewin,23,Defensive Midfield,€600k,Australia
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Starting XI,Alessandro Lopane,20,Defensive Midfield,€275k,Australia
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Starting XI,Andreas Kuen,30,Attacking Midfield,€500k,Austria
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Starting XI,Medin Memeti,17,Left Winger,€150k,Australia
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Starting XI,Marco Tilio,23,Right Winger,€800k,Australia
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Starting XI,Max Caputo,19,Centre-Forward,€225k,Australia
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Substitutes,Lachie Charles,17,Goalkeeper,,Australia
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Substitutes,Harry Politidis,22,Left-Back,€250k,Australia
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Substitutes,Callum Talbot,24,Right-Back,€350k,"Australia, Malta"
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Substitutes,Steven Ugarkovic,30,Defensive Midfield,€500k,"Australia, Croatia"
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Substitutes,Lawrence Wong,17,Attacking Midfield,€50k,Australia
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Substitutes,Yonatan Cohen,28,Right Winger,€500k,"Israel, Poland"
"Sat, 4/5/25",Melbourne City FC,Central Coast Mariners,Substitutes,Kavian Rahmani,18,Left Winger,€75k,Australia
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Starting XI,Nathan Paull,21,Centre-Back,€325k,Australia
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Starting XI,Trent Sainsbury,33,Centre-Back,€500k,"Australia, England"
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Starting XI,Harrison Steele,22,Central Midfield,€300k,Australia
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Starting XI,Alfie McCalmont,25,Central Midfield,€300k,"Northern Ireland, England"
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Starting XI,Mikael Doka,25,Right Midfield,€450k,Brazil
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Starting XI,Lucas Mauragis,23,Left Midfield,€400k,"Australia, Lithuania"
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Starting XI,Christian Theoharous,25,Left Winger,€300k,"Australia, Cyprus"
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Starting XI,Vitor Feijão,28,Right Winger,€150k,Brazil
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Substitutes,Jack Warshawsky,20,Goalkeeper,€50k,Australia
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Substitutes,Storm Roux,32,Right Midfield,€325k,"New Zealand, Australia"
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Substitutes,Lucas Scicluna,19,Central Midfield,,"Malta, Australia"
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Substitutes,Abdul Faisal,19,Left Winger,€150k,Australia
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Substitutes,Miguel Di Pizio,19,Right Winger,€250k,Australia
"Sat, 4/5/25",Central Coast Mariners,Melbourne City FC,Substitutes,Nicholas Duarte,21,Centre-Forward,€50k,Australia
