Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 4/5/25",Western United FC,Perth Glory,Starting XI,Matt Sutton,25,Goalkeeper,€300k,Australia
"Sat, 4/5/25",Western United FC,Perth Glory,Starting XI,Tomoki Imai,34,Centre-Back,€250k,Japan
"Sat, 4/5/25",Western United FC,Perth Glory,Starting XI,Dylan Leonard,17,Centre-Back,€250k,"Australia, Scotland"
"Sat, 4/5/25",Western United FC,Perth Glory,Starting XI,Ben Garuccio,29,Left-Back,€400k,"Australia, Italy"
"Sat, 4/5/25",Western United FC,Perth Glory,Starting XI,Tate Russell,25,Right-Back,€350k,Australia
"Sat, 4/5/25",Western United FC,Perth Glory,Starting XI,Rhys Bozinovski,20,Central Midfield,€275k,"Australia, Malta"
"Sat, 4/5/25",Western United FC,Perth Glory,Starting XI,Angus Thurgate,25,Central Midfield,€550k,Australia
"Sat, 4/5/25",Western United FC,Perth Glory,Starting XI,Riku Danzaki,24,Left Winger,€325k,Japan
"Sat, 4/5/25",Western United FC,Perth Glory,Starting XI,Matthew Grimaldi,21,Right Winger,€250k,Australia
"Sat, 4/5/25",Western United FC,Perth Glory,Starting XI,Hiroshi Ibusuki,34,Centre-Forward,€225k,Japan
"Sat, 4/5/25",Western United FC,Perth Glory,Starting XI,Noah Botic,23,Centre-Forward,€400k,"Australia, Croatia"
"Sat, 4/5/25",Western United FC,Perth Glory,Substitutes,Michael Vonja,19,Goalkeeper,€25k,Australia
"Sat, 4/5/25",Western United FC,Perth Glory,Substitutes,James Donachie,31,Centre-Back,€250k,Australia
"Sat, 4/5/25",Western United FC,Perth Glory,Substitutes,Charbel Shamoon,21,Left-Back,€200k,"Iraq, Australia"
"Sat, 4/5/25",Western United FC,Perth Glory,Substitutes,Jordan Lauton,22,Central Midfield,€100k,Australia
"Sat, 4/5/25",Western United FC,Perth Glory,Substitutes,Ramy Najjarine,24,Left Winger,€300k,"Australia, Lebanon"
"Sat, 4/5/25",Western United FC,Perth Glory,Substitutes,Michael Ruhs,22,Centre-Forward,€150k,Australia
"Sat, 4/5/25",Western United FC,Perth Glory,Substitutes,Luke Vickery,19,Right Winger,€25k,Australia
"Sat, 4/5/25",Perth Glory,Western United FC,Starting XI,Oliver Sail,29,Goalkeeper,€350k,"New Zealand, Australia"
"Sat, 4/5/25",Perth Glory,Western United FC,Starting XI,Tass Mourdoukoutas,26,Centre-Back,€200k,"Australia, Greece"
"Sat, 4/5/25",Perth Glory,Western United FC,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Sat, 4/5/25",Perth Glory,Western United FC,Starting XI,Yuto Misao,33,Left-Back,€125k,Japan
"Sat, 4/5/25",Perth Glory,Western United FC,Starting XI,Trent Ostler,23,Right-Back,€200k,Australia
"Sat, 4/5/25",Perth Glory,Western United FC,Starting XI,Nicholas Pennington,26,Central Midfield,€350k,"Australia, Italy"
"Sat, 4/5/25",Perth Glory,Western United FC,Starting XI,Luke Amos,28,Central Midfield,€250k,"England, Nigeria"
"Sat, 4/5/25",Perth Glory,Western United FC,Starting XI,William Freney,19,Left Winger,,Australia
"Sat, 4/5/25",Perth Glory,Western United FC,Starting XI,Nikola Mileusnic,31,Right Winger,€300k,"Australia, Serbia"
"Sat, 4/5/25",Perth Glory,Western United FC,Starting XI,Jaylan Pearman,18,Second Striker,€50k,Australia
"Sat, 4/5/25",Perth Glory,Western United FC,Starting XI,Adam Taggart,31,Centre-Forward,€650k,Australia
"Sat, 4/5/25",Perth Glory,Western United FC,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sat, 4/5/25",Perth Glory,Western United FC,Substitutes,Kaelan Majekodunmi,21,Centre-Back,€100k,"Australia, England"
"Sat, 4/5/25",Perth Glory,Western United FC,Substitutes,Josh Risdon,32,Right-Back,€350k,Australia
"Sat, 4/5/25",Perth Glory,Western United FC,Substitutes,Taras Gomulka,23,Central Midfield,€350k,"Australia, Ukraine"
"Sat, 4/5/25",Perth Glory,Western United FC,Substitutes,Adam Bugarija,20,Right Winger,€150k,"Australia, Spain"
"Sat, 4/5/25",Perth Glory,Western United FC,Substitutes,Khoa Ngo,18,Left Winger,€150k,Australia
"Sat, 4/5/25",Perth Glory,Western United FC,Substitutes,Patrick Wood,22,Centre-Forward,€300k,Australia
