Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Starting XI,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Starting XI,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Starting XI,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Starting XI,Lachlan Bayliss,22,Central Midfield,€250k,"New Zealand, Australia"
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Starting XI,Kota Mizunuma,35,Right Midfield,€350k,Japan
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Starting XI,Daniel Wilmering,24,Left Midfield,€300k,"Australia, Germany"
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Starting XI,Thomas Aquilina,24,Attacking Midfield,€375k,"Australia, Malta"
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Starting XI,Eli Adams,23,Attacking Midfield,€250k,Australia
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Starting XI,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Substitutes,Jordan Baylis,19,Goalkeeper,,Australia
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Substitutes,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Substitutes,Dane Ingham,25,Right-Back,€400k,"New Zealand, Australia"
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Substitutes,Matthew Scarcella,21,Central Midfield,€100k,"Australia, Italy"
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Substitutes,Charles M'Mombwa,27,Central Midfield,€200k,"Tanzania, Australia"
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Substitutes,Clayton Taylor,21,Left Winger,€350k,Australia
"Sun, 4/6/25",Newcastle United Jets,Wellington Phoenix,Substitutes,Wellissol,27,Centre-Forward,€100k,Brazil
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Starting XI,Joshua Oluwayemi,24,Goalkeeper,€300k,"Nigeria, England"
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Starting XI,Corban Piper,22,Centre-Back,€250k,New Zealand
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Starting XI,Scott Wootton,33,Centre-Back,€275k,England
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Starting XI,Isaac Hughes,21,Centre-Back,€300k,"New Zealand, England"
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Starting XI,Alex Rufer,28,Central Midfield,€600k,"New Zealand, Switzerland"
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Starting XI,Matthew Sheridan,20,Central Midfield,€250k,New Zealand
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Starting XI,Tim Payne,31,Right Midfield,€450k,New Zealand
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Starting XI,Sam Sutton,23,Left Midfield,€350k,"New Zealand, England"
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Starting XI,Kazuki Nagasawa,33,Attacking Midfield,€225k,Japan
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Starting XI,Hideki Ishige,30,Attacking Midfield,€400k,Japan
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Starting XI,Kosta Barbarouses,35,Centre-Forward,€375k,"New Zealand, Greece"
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Substitutes,Dublin Boon,20,Goalkeeper,€100k,New Zealand
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Substitutes,Lukas Kelly-Heald,20,Centre-Back,€250k,New Zealand
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Substitutes,Paulo Retre,32,Central Midfield,€350k,"Australia, Portugal"
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Substitutes,Lachlan Candy,19,Attacking Midfield,€100k,New Zealand
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Substitutes,Luke Brooke-Smith,16,Attacking Midfield,€75k,New Zealand
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Substitutes,Nathan Walker,19,Left Winger,€175k,New Zealand
"Sun, 4/6/25",Wellington Phoenix,Newcastle United Jets,Substitutes,Gabriel Sloane-Rodrigues,17,Right Winger,€75k,"New Zealand, Brazil"
